ID,Descripción
SEC-CAT-IAF-008,"The application must implement robust multifactor authentication, using at least two authentication factors (for example, CAC, Alt. Token) to access non-privileged networks and accounts."
SEC-CAT-IAF-009,"The application should allow users to use a single identity credential (unique login), whether patients or suppliers, when the portal provides access to other applications or services with separate authentication mechanisms."
SEC-CAT-IAF-010,"The application must consider and select robust levels of identity assurance following the roles of the users, defining the necessary mechanisms to prove the identity of the record initially."
SEC-CAT-IAF-011,"The application must consider and select robust levels of identity assurance following the roles of the users, defining the necessary mechanisms to prove the identity of the record initially."
SEC-CAT-IAF-012,"The application must implement safe login procedures that protect against login attempts by brute force."
SEC-CAT-IAF-013,"The application should consider that by authenticating the user, at least the two factors of the authentication mechanism are implemented."
SEC-CAT-IAF-014,"The application must require the re-authentication of users and devices when information systems' authenticators, roles, or security categories change."
SEC-CAT-IAF-015,"In case of an error during the login, the application should not offer specific help messages that can benefit an unauthorized user."
SEC-CAT-IAF-016,"The application should not show system or application identifiers until the login process has been successfully completed."
SEC-CAT-IAF-017,"The application should not allow passwords to be transmitted in clear text on a network, following section 9.4.2 J) of safe login procedures."
SEC-CAT-IAF-018,"During the login procedures, the application should not show the password that is being entered."
SEC-CAT-IAF-019,"The application must prohibit password reuse for a minimum of five generations."
SEC-CAT-IAF-020,"The application should allow the use of a temporary password for the session in the system, with an immediate change to a permanent password."
SEC-CAT-IAF-021,"The application must, when a successful login is completed, show the following information: 1. Date and time of the last successful login. 2. Details of any login and login attempts since the last successful session."
SEC-CAT-IAF-022,"The application must apply a minimum 24-hour/1 day password life policy."
SEC-CAT-IAF-023,"The application must apply a maximum 60-day password restriction."
SEC-CAT-IAF-024,"The application must ensure that changing the password requires changing at least eight characters."
SEC-CAT-IAF-025,"The application must comply with the following password complexity policies: o Require at least a special character. o Apply a minimal password length of 15 characters. o Demand at least one capital character. o Make at least a lowercase character. o Impose password complexity by requiring at least a numerical character."
SEC-CAT-IAF-026,"The application must prevent users, except the administrator or the user associated with the password, from making password changes."
SEC-CAT-IAF-027,"Do not send or implement predetermined credentials, especially for administrators."
SEC-CAT-IAF-028,"The application must limit the number of concurrent sessions for each account to three."
SEC-CAT-IAF-029,"The application must limit the number of concurrent sessions for each account to three."
SEC-CAT-IAF-030,"The EHRI application must restrict the duration of connections to application services to provide additional security in access to those applications."
SEC-CAT-IAF-031,"The application must implement electronic procedures that automatically finish an electronic session after a default inactivity period."
SEC-CAT-IAF-032,"The application must automatically end the administrator user session and close the administrator’s session after a 10-minute inactivity period is exceeded."
SEC-CAT-IAF-033,"The application must automatically end the un-privileged user session and close the session of not-privileged users after a 15-minute inactivity period has elapsed."
SEC-CAT-IAF-034,"The application must automatically end the un-privileged user session and close the session of not-privileged users after a 15-minute inactivity period has elapsed."
SEC-CAT-IAF-035,"The application must ensure that, at the end of a session, all network connections linked to that session are closed, and the session ID and cookies data are destroyed."
SEC-CAT-IAF-036,"The application must be able to revoke the user's access privileges on time, which implies immediately preventing the user from accessing the system once their privileges have been revoked."
SEC-CAT-IAF-037,"The application must finish the existing user sessions by eliminating an account. Configure the application to close user sessions whose accounts have been deleted."
SEC-CAT-IAF-038,"The application must automatically delete or deactivate temporary user accounts 72 hours after creation. Configure the temporary accounts so they are deleted or deactivated automatically after 72 hours of the account's creation."
SEC-CAT-IAF-039,"The application must automatically deactivate the user accounts after an inactivity period of 35 days."
SEC-CAT-SDF-001,"The application must acquire components only from official sources through safe links. Preference must be given to signed packages to reduce the possibility of including a modified or malicious component."
SEC-CAT-SDF-002,"The application must incorporate a 'software supply chain safety tool' to verify that the components do not contain known vulnerabilities."
SEC-CAT-SDF-003,"The application must have a process for reviewing code and configuration changes to minimize the possibility of malicious code or configuration introduction in the software pipeline."
SEC-CAT-SDF-004,"The application must ensure that its continuous integration channel/continuous deployment (CI/CD) has adequate segregation, safe configuration, and access control to guarantee the integrity of the code that flows through construction and implementation processes."
SEC-CAT-SDF-005,"The application must guarantee that the non-signed or non-encrypted serialized data are not sent to non-reliable customers without integrity verification or digital signature to detect manipulations or reproductions of the serialized data."
SEC-CAT-SDF-006,"The application must be able to show the previous content of a record at any point in the past, as well as the associated details of who entered, agreed, or modified the data and at what time."
SEC-CAT-SDF-007,"The application must implement policies and procedures to protect protected electronic health information (EPHI) against improper alterations or destruction."
SEC-CAT-LMF-001,"The application must implement a comprehensive security management process to guarantee the non-repudiation, confidentiality, integrity, and availability of all protected electronic health information (EPHI) created, received, maintained, or transmitted. This process must include the periodic review of system activity records, such as audit records, access reports, and security monitoring reports."
SEC-CAT-LMF-002,"The application must implement a comprehensive security management process to guarantee the non-repudiation, confidentiality, integrity, and availability of all protected electronic health information (EPHI) created, received, maintained, or transmitted. This process must include the periodic review of system activity records, such as audit records, access reports, and security monitoring reports."
SEC-CAT-LMF-003,"The application must have an audit reduction capacity that supports research after security incidents. The application must be configured to offer an audit reduction capacity that supports forensic investigations."
SEC-CAT-LMF-004,"The application must generate audit records when successful/unsuccessful attempts are made to grant privileges. Configure the application to audit successful and unsuccessful attempts to grant privileges."
SEC-CAT-LMF-005,"The application must generate audit records for successful and unsuccessful attempts to modify privileges, security levels, and information categories."
SEC-CAT-LMF-006,"The application must generate audit records for successful and failed attempts to eliminate privileges, security levels, database safety objects, and information categories."
SEC-CAT-LMF-007,"The application must generate audit records for privileged activities, accesses at the system level, successful/non-success to objects, and all direct access to the information system. The application in registration tickets corresponding to each type of activity mentioned must be configured."
SEC-CAT-LMF-008,"The application must register the actions of users related to access and data changes. It includes identifying specific data elements that require protection and auditing all access and modification of data."
SEC-CAT-LMF-009,"The application must audit the execution of privileged functions. Configure the application to record registration inputs when privileged functions are executed. At least ensure the specific action performed on the date and time of the event is registered."
SEC-CAT-LMF-010,"The application must generate safe audit records every time a user: 1. Access, create, or update the personal health information (PHI) of a patient/person through the application; 2. Cancels the consent directives of a patient/person through the application; 3. Access, through the application, to data blocked or masked by instruction of a patient/person; 4. Access, create, or update user registration data in the application."
SEC-CAT-LMF-011,"The application must generate audit records that show the start and end of the user's access time to the system and events related to the beginning, closure, and duration of sessions."
SEC-CAT-LMF-012,"The application must initiate the audit of sessions at the beginning. Configure the application to start registering application events as soon as the application starts."
SEC-CAT-LMF-013,"The application must register closing events of the application. Configure the application or application server to record the closing events of the application in the event records."
SEC-CAT-LMF-014,"The application must generate audit records when successful or failed login attempts occur."
SEC-CAT-LMF-015,"The application must ensure that audit records contain information that establishes the following: 1. When using centralized logging; the application must include a unique identifier in order to distinguish itself from other application logs. 2. What type of event occurred; 3. The function performed by the accessing user; 4. When the event occurred with a time stamp mark that meets a granularity of one second for a minimum degree of precision. 5. Where the event occurred; 6. The organization of the accessing user (at least in those cases where an individual accesses information on behalf of more than one organization); 7. Source of the event that establishes the identity of any individual or process associated with the event; 8. Network addresses and protocols; 9. Destination IP addresses; 10. Device identity or location, if possible, and system identifier; 11. The outcome of the event; 12. Identity of any individuals, subjects, or objects/entities associated with the event using the username or user ID of the user related to the event; 13. The role the user is exercising; 14. In the case of access override to blocked or masked records or portions of records, a reason for the override, as chosen by the user making the access; 15. In the case of changes to consent directives made by a substitute decision-maker, the identity of the decision-maker."
SEC-CAT-LMF-016,"The application must back up the audit records at least every seven days in a system or component different from the one being audited."
SEC-CAT-LMF-017,"The application must maintain audit records for a specific period of time, determined by regulations and medical standards. This retention must cover from 7 to 75 years, depending on the information and legal requirements of the State. Some states may require that medical records be preserved in the hospital to guarantee continuous accessibility."
SEC-CAT-LMF-018,"The LOG management application must ensure access and protect against unauthorized modification delete, and guarantee the integrity of audit tools to prevent improper use or commitment."
SEC-CAT-LMF-019,"The application must implement strict control measures for the elimination, replication, and consultations of audit records, ensuring total control over the entry, reading, manipulation, or data disposal."
SEC-CAT-LMF-020,"The application must transfer audit records to a system or medium different from the audited system and be configured to write application records in a centralized repository."
SEC-CAT-LMF-021,"The application must allow the review and centralized analysis of audit records with filtering options defined by the organization."
SEC-CAT-LMF-022,"At least one application administrator must be registered to receive notifications of updates or safety alerts when they are automatically available. Administrators must register to receive update notifications, allowing them to stop and update applications and components of the application."
SEC-CAT-LMF-023,"The application must generate audit records when a concurrent session is produced from different workstations."
SEC-CAT-LMF-024,"EHRI must be able to register and safely report each access to the records of a patient/person, complying with the following requirements: 1. Identify all users who have accessed or modified the records of a patient/person in a given period. 2. Provide functionality to inform for a given user: • The records you can access. • You can access the specific sections of the registration(s). • The privileges you have concerning each of these records. 3. Identify all patients/people whose records have been accessed or modified by a specific user in a given period. 4. The system must generate a security event in case of an attempt or potential success for violating the login controls."
SEC-CAT-LMF-025,"The application must notify the administrator, audit, and record the modifications made in the application configuration."
SEC-CAT-LMF-026,"The application must notify the system administrators and system security officers (ISSO) of account activation actions. The application must be configured to send notifications to the system administrator and the ISSO when application accounts are enabled."
SEC-CAT-LMF-027,"The application must notify the system administrators and system security officers (ISSO) of account deactivation actions. The application must be configured to send notifications to the system administrator and the ISSO when application accounts are enabled."
SEC-CAT-LMF-028,"The application must notify the system administrators and the system security officers (ISSO) when application accounts are created."
SEC-CAT-LMF-029,"The application must notify the system administrators and system information security officers (ISSO) of account elimination actions. The application configuration must include notification to the system administrator and the ISSO when application accounts are deleted."
SEC-CAT-LMF-030,"The application must notify system administrators and system security officers (ISSO) when user accounts are modified."
SEC-CAT-LMF-031,"The application must provide functions to analyze records and audit traces to identify all users who have accessed or modified patient/people records during a certain period."
SEC-CAT-LMF-032,"The application must alert the Information Security Officer (ISSO) and the System administration (SA) in case of a failure in audit processing. The application must be configured to send an alarm when the audit system fails or is experiencing failure."
SEC-CAT-SRF-001,"The application must implement protection measures to prevent SSRF vulnerabilities, including network and application layer controls."

