"ID","Requisito generado","Artículo/Fuente","¿Extraído correctamente?","Nivel de fidelidad","Tipo de error (si aplica)","Justificación/Comentarios","Porcentaje de calidad","legibility_score","ambiguous_terms"
"SEC-CAT-CRF-003","La aplicación debe garantizar el almacenamiento seguro del identificador de sesión, asegurando que en ningún momento se incluya el identificador de sesión generado en las peticiones a través de la URL. ","OWASP A07:2021, NIST SP 800-53 SC-23, ISO/IEC 27002:2022 8.26","Sí","Alta","","Prevención de exposición de identificadores de sesión mediante URL. Práctica de seguridad esencial.","53.75","26.66310935483873","['seguro']"
"SEC-CAT-CRF-004","La aplicación debe garantizar el cifrado de los mensajes cuando el SessionIndex esté vinculado a datos de privacidad. ","NIST SP 800-53 SC-12, SC-13, ISO/IEC 27002:2022 10.1","Sí","Alta","","Protección del índice de sesión vinculado a datos personales mediante cifrado. Correcta alineación.","53.75","44.22390500000002","[]"
"SEC-CAT-CRF-005","La aplicación debe almacenar exclusivamente representaciones criptográficas de contraseñas, siguiendo las mejores prácticas y utilizando módulos criptográficos validados por FIPS. ","HIPAA §164.312(d), NIST SP 800-53 IA-5(1), FIPS 140-2","Sí","Alta","","Requisito bien redactado que exige uso de hash seguro y cumplimiento con FIPS.","53.75","0.0","[]"
"SEC-CAT-INJ-001","La aplicación debe implementar medidas de validación de la entrada de datos antes de almacenarlos para garantizar la integridad y seguridad de la información procesada, almacenada o accesible a través de dispositivos de punto de usuario final. ","OWASP A03:2021, CWE-20, ISO/IEC 27002:2022 8.28","Sí","Alta","","Buena práctica contra inyecciones. Obligatoriedad normativa y técnica clara.","56.25","1.212057297297311","[]"
"SEC-CAT-INJ-002","La aplicación debe ser segura frente a ataques de inyección SQL. Es necesario evitar posibles problemas de seguridad relacionados con la inyección SQL y ajustar la aplicación para eliminar cualquier riesgo asociado a este ataque. ","OWASP A03:2021, CWE-89, NIST SP 800-53 SI-10","Sí","Alta","","Requisito esencial en la prevención de inyecciones SQL. Correctamente alineado.","56.25","38.2840110714286","['segura']"
"SEC-CAT-INJ-003","La aplicación debe implementar restricciones efectivas sobre los tipos de archivos que los usuarios pueden cargar para evitar la carga de archivos peligrosos que puedan ser procesados automáticamente en el entorno de la aplicación. ","OWASP A08:2021, CWE-434, ISO/IEC 27002:2022 8.30","Sí","Alta","","Control adecuado de cargas de archivos. Alineación clara con riesgos identificados.","56.25","39.2655191176471","[]"
"SEC-CAT-INJ-004","La aplicación debe implementar medidas de protección contra inyecciones de comandos. Dependiendo de la arquitectura de la aplicación, ésta debe ser modificada para escapar/sanitizar la entrada de caracteres especiales o configurar el sistema para proteger contra ataques de inyección de comandos. ","OWASP A03:2021, CWE-77, NIST SP 800-53 SI-10","Sí","Alta","","Describe control contra comandos maliciosos. Claramente normativo.","56.25","8.006415060975604","[]"
"SEC-CAT-INJ-005","La aplicación debe implementar medidas de protección contra vulnerabilidades de Cross-Site Scripting (XSS) para prevenir ataques de inyección de código malicioso. ","OWASP A03:2021, CWE-79, ISO/IEC 27002:2022 8.28","Sí","Alta","","XSS es una de las principales amenazas web. El requisito es válido y bien alineado.","56.25","15.607554285714286","[]"
"SEC-CAT-INJ-006","La aplicación debe implementar un mecanismo de validación de salida de información para los siguientes programas de software y/o aplicaciones: [informes listado de tablas de datos]. ","ISO/IEC 27002:2022 8.28, SIREN: validación de salida","Sí","Alta","","Validación de salida esencial para prevenir fugas o XSS. Apoya trazabilidad normativa.","53.75","27.80325730769234","[]"
"SEC-CAT-IND-001","El sistema debe garantizar que los datos sólo se procesan siguiendo las directivas proporcionadas en el control de flujo de datos. ","ISO/IEC 27002:2022 5.1, ISO 27799:2016, HIPAA §164.308(a)(3)","Sí","Alta","","Describe control de tratamiento de datos conforme a flujos definidos. Correcto normativamente.","53.75","50.30564000000001","[]"
"SEC-CAT-IND-002","El sistema debe aplicar medidas para impedir la transferencia no autorizada e involuntaria de información a través de los recursos compartidos del sistema. ","NIST SP 800-53 SC-4, ISO/IEC 27002:2022 8.11","Sí","Alta","","Corresponde a la protección contra canales encubiertos y fuga de información por recursos compartidos.","53.75","24.895625652173923","[]"
"SEC-CAT-IND-003","La aplicación debe mostrar una notificación de uso del sistema y de privacidad antes de conceder el acceso. Este aviso debe contener información sobre la propiedad del sistema, la supervisión, registro y auditoría del uso, las sanciones por uso no autorizado y la aceptación de estas condiciones por parte del usuario. ","NIST SP 800-53 PL-4, AC-8, ISO/IEC 27002:2022 5.29","Sí","Alta","","Cumple con la obligación de informar al usuario de condiciones de uso y monitoreo.","53.75","49.10953073529416","[]"
"SEC-CAT-IND-004","El sistema debe generar mensajes de error que proporcionen al usuario la información necesaria para realizar acciones correctivas sin revelar detalles que puedan ser explotados. ","OWASP A01:2021, CWE-209, NIST SP 800-53 SI-11","Sí","Alta","","Control esencial para evitar la fuga de información técnica crítica mediante mensajes de error.","53.75","29.148284000000032","[]"
"SEC-CAT-IND-005","La aplicación debe separar física o lógicamente la funcionalidad del usuario, incluidos los servicios de interfaz de usuario y la funcionalidad de gestión del sistema. ","NIST SP 800-53 SC-2, AC-6, ISO/IEC 27002:2022 8.1","Sí","Alta","","Segmentación de funciones es una medida fundamental de seguridad.","53.75","35.625260000000004","[]"
"SEC-CAT-IND-006","La aplicación debe estar diseñada para no utilizar código móvil emergente o no categorizado. ","NIST SP 800-53 SC-18, ISO/IEC 27002:2022 8.24","Sí","Alta","","Móvil code emergente sin control puede generar riesgos importantes. Alineado con buenas prácticas.","56.25","41.68375357142859","[]"
"SEC-CAT-IND-007","La aplicación no debe contener datos de autenticación incorporados en su código, archivos de configuración, scripts, archivos HTML o cualquier archivo ASCII. ","OWASP A07:2021, CWE-798, ISO/IEC 27002:2022 8.5","Sí","Alta","","Autenticación embebida compromete la seguridad. Buen enfoque preventivo.","53.75","33.387185","[]"
"SEC-CAT-IND-008","La aplicación no debe escribir datos sensibles en los registros de la aplicación. La aplicación debe diseñarse o reconfigurarse para evitar incluir datos sensibles en los registros. ","NIST SP 800-53 AU-9, ISO/IEC 27002:2022 8.31","Sí","Alta","","Evita la exposición accidental de datos sensibles. Correctamente alineado con registros de auditoría.","56.25","57.59080250000002","[]"
"SEC-CAT-IND-009","La aplicación no debe almacenar o retener innecesariamente información sensible en campos ocultos. Es imprescindible eliminar esta información lo antes posible, o en su lugar, utilizar prácticas como el token o el truncado, siguiendo las directrices de PCI DSS para garantizar un almacenamiento seguro. ","PCI DSS Req. 3, OWASP A01:2021, ISO/IEC 27002:2022 8.7","Sí","Alta","","Ocultar datos sensibles en campos HTML es una práctica insegura. Requisito correcto.","53.75","13.146634999999996","['seguro']"
"SEC-CAT-IND-010","La aplicación debe garantizar que los archivos de configuración y control no se almacenan en el mismo directorio que los datos de usuario. Los datos de usuario de la aplicación deben estar ubicados en un directorio distinto del código de la aplicación, y deben establecerse permisos para los archivos de usuario a fin de restringir el acceso de los usuarios a la configuración de la aplicación. ","OWASP A05:2021, NIST SP 800-53 CM-5(3), ISO/IEC 27002:2022 8.9","Sí","Alta","","Separación de configuración y datos evita ataques por mal aislamiento. Bien definido.","53.75","47.23628000000003","[]"
"SEC-CAT-IND-011","La aplicación no debe alojarse en un servidor de propósito general si la aplicación es designada como crítica o de alta disponibilidad por el Oficial de Seguridad de la Información (ISSO). Las aplicaciones críticas no compartidas por otras aplicaciones menos críticas deben implementarse en servidores. ","NIST SP 800-53 SC-39, ISO/IEC 27002:2022 5.34","Sí","Alta","","Asegura alta disponibilidad y reduce superficies de ataque. Correctamente justificado.","53.75","39.852807500000026","[]"
"SEC-CAT-IND-012","La aplicación debe implementar una limitación adecuada de las rutas de acceso para evitar la manipulación maliciosa de rutas que pueda conducir a la revelación no autorizada de archivos o directorios. ","OWASP A01:2021, CWE-22, ISO/IEC 27002:2022 8.9","Sí","Alta","","Alineado con mitigación de Path Traversal. Buen requisito preventivo.","56.25","21.43974161290324","[]"
"SEC-CAT-IND-013","La aplicación debe estar protegida contra vulnerabilidades de representación canónica. Se debe seleccionar una forma canónica adecuada y canonizar toda la entrada del usuario antes de tomar decisiones de autorización. ","CWE-180, CWE-179, NIST SP 800-53 SI-10","Sí","Alta","","Canonización de entradas evita saltos de validación por encoding maliciosos.","53.75","26.44763000000003","[]"
"SEC-CAT-IND-014","La aplicación debe incorporar un enfoque de ""fallo seguro"" mediante una gestión segura de errores para evitar vulnerabilidades derivadas de una gestión incorrecta de códigos de retorno y excepciones en todos los componentes del sistema. ","NIST SP 800-53 SI-11, ISO/IEC 27002:2022 8.32","Sí","Alta","","La gestión de fallos segura es una práctica clave de defensa en profundidad.","53.75","16.658887142857147","['seguro', 'segura']"
"SEC-CAT-IND-015","La aplicación no debe ser vulnerable a condiciones de carrera. ","CWE-362, NIST SP 800-53 SI-10","Sí","Alta","","Condiciones de carrera pueden derivar en accesos no autorizados o corrupción de datos.","53.75","58.29180500000001","[]"
"SEC-CAT-IND-016","La aplicación debe implementar medidas para prevenir el uso de memoria después de ser liberada ya que la referencia a memoria después de ser liberada puede causar fallos en el programa, el uso de valores inesperados, o ejecutar código no deseado. ","CWE-416, ISO/IEC 27002:2022 8.8","Sí","Alta","","Uso después de liberar memoria es una causa común de errores de seguridad graves.","53.75","15.739266829268324","[]"
"SEC-CAT-IND-017","La aplicación debe prevenir la referencia a punteros nulos, evitando intentar acceder a un puntero nulo, lo que podría provocar fallos o salidas inesperadas. ","CWE-476, ISO/IEC 27002:2022 8.8","Sí","Alta","","Buena práctica para asegurar la robustez del sistema ante accesos inválidos.","53.75","23.777600000000035","[]"
"SEC-CAT-IND-018","La aplicación debe implementar controles definidos por la organización para proteger la memoria del sistema contra la ejecución de código no autorizado. ","NIST SP 800-53 SI-16, ISO/IEC 27002:2022 8.8","Sí","Alta","","Cumple requisitos de integridad del espacio de memoria y control de ejecución.","53.75","29.707085000000003","[]"
"SEC-CAT-IND-019","La aplicación no debe ser vulnerable a ataques de desbordamiento de búfer. ","CWE-119, NIST SP 800-53 SI-10, ISO/IEC 27002:2022 8.8","Sí","Alta","","Las sobrecargas de búfer son vectores clásicos de explotación. Requisito sólido.","53.75","65.79468500000002","[]"
"SEC-CAT-IND-020","La aplicación debe diseñarse para utilizar componentes que no sean vulnerables a ataques XML. ","OWASP XML External Entity (XXE), CWE-611, ISO/IEC 27002:2022 8.30","Sí","Alta","","Mitigación contra ataques XXE está bien cubierta. Buen criterio de diseño seguro.","53.75","47.46676785714288","[]"
"SEC-CAT-IND-021","La aplicación debe implementar mecanismos de autenticación resistentes a la repetición para el acceso a la red de cuentas con y sin privilegios. ","NIST SP 800-53 IA-2(8), ISO/IEC 27002:2022 8.2","Sí","Alta","","Prevención contra ataques de repetición. Enlace claro con mecanismos robustos de autenticación.","53.75","35.45591260869569","[]"
"SEC-CAT-IND-022","Las aplicaciones con mensajes SOAP que requieran integridad deben incluir los siguientes elementos de mensaje: -ID del mensaje -Solicitud de servicio -Sello de fecha y hora -Aserción SAML (incluida opcionalmente en los mensajes), y todos los elementos del mensaje deben estar firmados digitalmente. ","WS-Security, NIST SP 800-95, ISO/IEC 27002:2022 10.4","Sí","Alta","","Elementos críticos para asegurar integridad y autenticidad en mensajes SOAP. Alineado con WS-Security.","56.25","7.596955581395341","[]"
"SEC-CAT-IND-023","La aplicación debe autenticar todos los dispositivos terminales conectados a la red antes de establecer cualquier conexión. ","NIST SP 800-53 AC-17(1), ISO/IEC 27002:2022 5.15","Sí","Alta","","Prevención contra conexiones no autorizadas. Buen enfoque de seguridad de red.","53.75","31.96614235294119","[]"
"SEC-CAT-IND-024","Los mensajes seguros con WS-Security deben tener marcas de tiempo que indiquen cuando fueron creados y cuando expiraron. La aplicación debe estar diseñada para utilizar estas marcas de tiempo y números de secuencia en los mensajes WS-Security. ","WS-Security, NIST SP 800-95, ISO/IEC 27002:2022 10.4","Sí","Alta","","Uso de time-based tokens y control de secuencia es recomendado en entornos seguros SOAP.","53.75","38.87563290540542","[]"
"SEC-CAT-IND-025","La aplicación debe verificar los periodos de validez en todos los mensajes que utilicen declaraciones WS-SECURITY o SAML. Diseñe y configure la aplicación para utilizar y verificar los periodos de validez en todos los perfiles de token WS-Security y declaraciones SAML. ","SAML 2.0 Core, WS-Security, ISO/IEC 27002:2022 10.4","Sí","Alta","","Control de expiración de tokens es obligatorio para proteger contra reusos indebidos.","53.75","41.57610774390245","[]"
"SEC-CAT-SEM-001","La aplicación debe definir, documentar e implementar configuraciones, incluyendo seguridad, hardware, software, servicios y redes, ajustándolas de la forma más restrictiva consistente con los requerimientos operacionales. ","NIST SP 800-53 CM-2, ISO/IEC 27002:2022 5.14","Sí","Alta","","Configuración segura mínima necesaria reduce vectores de ataque.","53.75","0.0","[]"
"SEC-CAT-SEM-002","La aplicación debe definir e implementar las debidas configuraciones de seguridad para evitar ataques DDoS. ","NIST SP 800-53 SC-5, ISO/IEC 27002:2022 8.16","Sí","Alta","","Medidas antiflujo masivo protegen disponibilidad, alineado con controles SC-5.","56.25","39.94133000000003","[]"
"SEC-CAT-SEM-003","La aplicación debe implementar medidas para validar la deserialización de datos no fiables y garantizar que los datos resultantes son válidos antes de procesarlos. ","OWASP A08:2021, CWE-502, ISO/IEC 27002:2022 8.28","Sí","Alta","","Control vital ante ataques de deserialización insegura. Requisito válido y justificado.","53.75","27.15102500000001","[]"
"SEC-CAT-SEM-004","La aplicación debe estar protegida contra las vulnerabilidades de FORJACIÓN DE SOLICITUDES CROSS-SITE (CSRF) mediante la configuración para utilizar tokens de desafío impredecibles y verificar la referencia HTTP garantizando que la solicitud se emitió desde el propio sitio. Además deben implementarse los controles de mitigación necesarios como el uso de servicios de reputación web ","OWASP A05:2021, CWE-352, ISO/IEC 27002:2022 8.28","Sí","Alta","","Contramedidas múltiples contra CSRF reflejan enfoque integral y normativo.","53.75","12.992210000000028","[]"
"SEC-CAT-SEM-005","La aplicación debe configurarse para desactivar las capacidades no esenciales. ","NIST SP 800-53 CM-7, ISO/IEC 27002:2022 8.9","Sí","Alta","","Deshabilitar funciones innecesarias reduce superficie de ataque.","53.75","17.810705","[]"
"SEC-CAT-SEM-006","La aplicación debe evitar mostrar a los usuarios lo que no sea necesario. Es necesario configurarla para que no revele detalles técnicos sobre la arquitectura en eventos de error. ","OWASP A01:2021, CWE-209, ISO/IEC 27002:2022 8.32","Sí","Alta","","Control de exposición en errores evita fuga de información interna.","53.75","54.75824750000002","[]"
"SEC-CAT-SEM-007","La aplicación debe identificar y autenticar de forma única a los usuarios no organizativos (o procesos que actúen en nombre de usuarios no organizativos). ","NIST SP 800-53 IA-8, ISO/IEC 27002:2022 5.16","Sí","Alta","","Identificación y autenticación individualizada es clave para usuarios externos.","53.75","27.15102500000001","[]"
"SEC-CAT-SEM-008","La aplicación debe identificar y autenticar de forma única a los usuarios de la organización (o procesos que actúen en nombre de usuarios de la organización). ","NIST SP 800-53 IA-2, ISO/IEC 27002:2022 5.16","Sí","Alta","","Establecimiento de identidades únicas organizacionales es obligatorio en sistemas seguros.","53.75","37.14504961538465","[]"
"SEC-CAT-SEM-009","Las aplicaciones que emiten declaraciones SAML deben utilizar números aleatorios aprobados por FIPS para generar sesiones SAML en el elemento AuthnStatement de Saml ","FIPS 140-2, NIST SP 800-133, SAML 2.0 Core","Sí","Alta","","Uso de RNG seguros es requerido para asegurar unicidad y resistencia criptográfica.","53.75","49.53629521739133","[]"
"SEC-CAT-SEM-010","La aplicación debe garantizar que cada parte que emite declaraciones (Asserting Party) proporciona identificadores únicos para cada declaración SAML (Security Assertion Markup Language). Se requiere diseñar y configurar cada autoridad de afirmación SAML para utilizar identificadores de afirmación únicos. ","SAML 2.0 Core, NIST SP 800-95","Sí","Alta","","Evita colisiones o repetición de afirmaciones. Práctica estandarizada.","53.75","20.623364807692344","[]"
"SEC-CAT-SEM-011","La aplicación debe garantizar el uso de declaraciones cifradas o protecciones de confidencialidad equivalentes cuando los datos de la declaración se transmiten a través de un intermediario, y la confidencialidad de las declaraciones de declaraciones es necesaria durante la transmisión a través del intermediario. ","SAML 2.0 Bindings, WS-Security, ISO/IEC 27002:2022 10.1","Sí","Alta","","Protección de contenido de SAML durante tránsito. Requisito alineado con buenas prácticas.","56.25","19.37757500000001","[]"
"SEC-CAT-SEM-012","La aplicación debe utilizar tanto los elementos <NotBefore> y <NotOnOrAfter> como el elemento <OneTimeUse> cuando utilice el elemento <Conditions> en una aserción SAML. ","SAML 2.0 Core §2.5.1","Sí","Alta","","Uso combinado limita reutilización indebida de afirmaciones.","53.75","21.37553000000002","[]"
"SEC-CAT-SEM-013","La aplicación debe utilizar la condición NotOnOrAfter cuando utilice el elemento SubjectConfirmation en una aserción SAML. ","SAML 2.0 Core §2.4.1.4","Sí","Alta","","Ayuda a restringir validez del canal de comunicación entre partes.","53.75","28.17501500000001","[]"
"SEC-CAT-SEM-014","La aplicación debe configurar las cookies de sesión con las siguientes propiedades: o Establecer la bandera HTTPOnly en las cookies de sesión. o Asegurarse de que la bandera segura (Secure) está activada en las cookies de sesión. ","OWASP A07:2021, ISO/IEC 27002:2022 8.31","Sí","Alta","","Previene ataques de robo de cookies y MITM.","53.75","58.56914101351352","['segura']"
"SEC-CAT-VOC-001","Mantener actualizados los componentes o librerías de la aplicación. ","OWASP A06:2021, ISO/IEC 27002:2022 8.34","Sí","Alta","","Gestión de versiones asegura integridad y seguridad del software.","53.75","16.982900000000015","[]"
"SEC-CAT-VOC-002","Las librerías o componentes de software que no cuenten con el soporte o mantenimiento deben ser eliminados o sustituidos. ","OWASP A06:2021, ISO/IEC 27002:2022 8.34","Sí","Alta","","Bibliotecas sin soporte presentan vulnerabilidades. Buena práctica de mantenimiento seguro.","53.75","42.30562368421055","[]"
"SEC-CAT-VOC-003","La aplicación debe proporcionar notificaciones o alertas cuando estén disponibles actualizaciones del producto y parches relacionados con la seguridad. ","ISO/IEC 27002:2022 8.33, NIST SP 800-40","Sí","Alta","","Actualizaciones críticas requieren alertas para mitigar vulnerabilidades.","53.75","16.738613157894772","[]"
"SEC-CAT-IAF-001","La aplicación debe identificar las acciones de usuario que pueden llevarse a cabo en el sistema sin necesidad de identificación o autenticación. ","NIST SP 800-53 AC-14, ISO/IEC 27002:2022 5.16","Sí","Alta","","Identifica riesgos asociados a funcionalidades públicas o pre-autenticadas.","53.75","44.427485","[]"
"SEC-CAT-IAF-002","Todas las organizaciones que se conecten al Sistema de Información del Registro Electrónico Sanitario (EHRI) deben someter a los posibles usuarios de Sistemas Punto de Venta (POS) que se conecten a EHRI a un proceso formal de registro de Usuarios. ","ISO/IEC 27002:2022 5.18, HIPAA §164.308(a)(3)(ii)(A)","Sí","Alta","","Proceso de registro estructurado asegura trazabilidad y acceso autorizado.","53.75","35.223320000000015","[]"
"SEC-CAT-IAF-003","La aplicación, cuando utilice autenticación basada en PKI, debe validar los certificados construyendo una cadena de certificación (incluyendo información de estado) hacia un anclaje de confianza aceptado, por lo que la aplicación debe estar diseñada para crear una cadena de certificación hacia un Anclaje de Confianza aceptado cuando utilice autenticación basada en PKI. ","NIST SP 800-57, FIPS 140-2, ISO/IEC 27002:2022 10.1","Sí","Alta","","Verificación de confianza mediante cadena de certificación es esencial en PKI.","53.75","0.0","[]"
"SEC-CAT-IAF-004","La aplicación, cuando utilice autenticación basada en infraestructura de clave pública (PKI), debe garantizar el acceso autorizado a la clave privada correspondiente, por lo que la aplicación o el mecanismo de control de acceso pertinente debe estar configurado para garantizar el acceso autorizado a la(s) clave(s) privada(s) de la aplicación. ","NIST SP 800-57, ISO/IEC 27002:2022 10.10","Sí","Alta","","Protección de claves privadas crítica en autenticación de clave pública.","53.75","0.0066770000000122","[]"
"SEC-CAT-IAF-005","La aplicación debe implantar procedimientos para verificar que la persona o entidad que pretende acceder a la información sanitaria electrónica protegida es quien dice ser. ","HIPAA §164.312(d), ISO/IEC 27002:2022 5.17","Sí","Alta","","Obligación de validación de identidad en protección de datos de salud.","53.75","16.194332000000003","[]"
"SEC-CAT-IAF-006","La aplicación debe imponer un límite de 3 intentos de inicio de sesión no válidos por parte de un usuario durante 15 minutos y bloquear automáticamente la cuenta durante 1 hora; bloquear la cuenta o el nodo hasta que un administrador lo libere; retrasar el siguiente aviso de inicio de sesión durante 1 hora; notificar al administrador del sistema; adoptar el bloqueo permanente de la cuenta cuando se supere el número máximo de intentos fallidos. ","NIST SP 800-53 AC-7, ISO/IEC 27002:2022 5.17","Sí","Alta","","Control de intentos fallidos reduce vectores de fuerza bruta.","53.75","0.0","[]"
"SEC-CAT-IAF-007","La aplicación debe implantar procedimientos para verificar que la persona o entidad que pretende acceder a la información sanitaria electrónica protegida es quien dice ser. ","HIPAA §164.312(d), ISO/IEC 27002:2022 5.17","Sí","Alta","Redundante","Requisito duplicado de IAF-005. Se sugiere consolidar.","48.75","16.194332000000003","[]"
"SEC-CAT-IAF-008","La aplicación debe implementar una autenticación multifactor robusta, utilizando al menos dos factores de autenticación (por ejemplo, CAC, Alt. Token) para acceder a redes y cuentas no privilegiadas. ","NIST SP 800-53 IA-2(1), ISO/IEC 27002:2022 5.17","Sí","Alta","","Requisito robusto de autenticación, especialmente para cuentas no privilegiadas.","53.75","18.55169642857144","[]"
"SEC-CAT-IAF-009","La aplicación debe permitir a los usuarios utilizar una única credencial de identidad (login único), ya sean pacientes o proveedores, cuando el portal proporcione acceso a otras aplicaciones o servicios con mecanismos de autenticación independientes. ","ISO/IEC 27002:2022 5.17, NIST SP 800-63","Sí","Alta","","Uso de identidad única mejora experiencia y control de acceso coherente.","56.25","9.719270000000012","[]"
"SEC-CAT-IAF-010","La aplicación debe considerar y seleccionar niveles robustos de garantía de identidad siguiendo los roles de los usuarios, definiendo los mecanismos necesarios para probar la identidad del registro inicialmente. ","NIST SP 800-63-3, ISO/IEC 27002:2022 5.17","Sí","Alta","","Requiere alineación del nivel de garantía de identidad con la sensibilidad del acceso.","53.75","21.131000000000007","[]"
"SEC-CAT-IAF-011","La aplicación debe considerar y seleccionar niveles robustos de garantía de identidad siguiendo los roles de los usuarios, definiendo los mecanismos necesarios para probar la identidad del registro inicialmente. ","NIST SP 800-63-3, ISO/IEC 27002:2022 5.17","Sí","Alta","Redundante","Contenido redundante respecto a IAF-010. Debe consolidarse para evitar duplicidades.","46.25","21.131000000000007","[]"
"SEC-CAT-IAF-012","La aplicación debe implementar procedimientos de login seguros que protejan contra intentos de login por fuerza bruta. ","OWASP A07:2021, NIST SP 800-53 AC-7, ISO/IEC 27002:2022 5.17","Sí","Alta","","Mitiga ataques de fuerza bruta. Alineado con buenas prácticas de autenticación.","56.25","27.20366000000002","[]"
"SEC-CAT-IAF-013","La aplicación debe considerar que al autenticar al usuario se implementan al menos los dos factores del mecanismo de autenticación. ","NIST SP 800-53 IA-2(1), ISO/IEC 27002:2022 5.17","Sí","Alta","","Refuerza el enfoque en autenticación multifactor. Correctamente definido.","53.75","36.43392500000003","[]"
"SEC-CAT-IAF-014","La aplicación debe requerir la reautenticación de usuarios y dispositivos cuando cambien los autenticadores, roles o categorías de seguridad de los sistemas de información. ","NIST SP 800-53 IA-11, ISO/IEC 27002:2022 5.17","Sí","Alta","","Previene escalamiento indebido de privilegios tras cambios críticos.","53.75","17.030750000000054","[]"
"SEC-CAT-IAF-015","En caso de error durante el inicio de sesión, la aplicación no debe ofrecer mensajes de ayuda específicos que puedan beneficiar a un usuario no autorizado. ","CWE-209, ISO/IEC 27002:2022 8.32","Sí","Alta","","Evita el reconocimiento de usuarios válidos. Buen criterio de seguridad.","53.75","43.3729111538462","[]"
