ID,Descripción,Legibility_Score,Max_Similarity
SEC-CAT-SEM-010,The application must ensure that each party that makes statements (Asserting Party) provides unique identifiers for each SAML statement (Security Assertion Markup Language). It is required to design and configure each SAML statement authority to use unique affirmation identifiers.,17.84,0.68-SEC-CAT-SEM-009
SEC-CAT-SEM-011,"The application must guarantee the use of encrypted statements or equivalent confidentiality protections when the statement data is transmitted through an intermediary, and the confidentiality of the statements of statements is necessary during the transmission through the intermediary.",-17.86,0.57-SEC-CAT-CRF-004
SEC-CAT-SEM-012,The application should use both the <NotBefore> y <NotOnOrAfter> elements and the <OneTimeUse> element when using the <Conditions> element in a SAML Assertion.,31.21,0.79-SEC-CAT-SEM-013
SEC-CAT-SEM-013,The application should use the NotOnOrAfter condition when using the SubjectConfirmation element in a SAML assertion.,21.4,0.79-SEC-CAT-SEM-012
SEC-CAT-SEM-014,The application must configure session cookies with the following properties: o Establish the HTTPOnly flag in session cookies. o Ensure that the safe flag (Secure) is activated in session cookies.,39.33,0.65-SEC-CAT-CRF-003
SEC-CAT-VOC-001,Keep updated on the components or libraries of the application.,35.95,0.48-SEC-CAT-VOC-003
SEC-CAT-VOC-002,The libraries or software components that do not have the support or maintenance must be removed or replaced.,53.21,0.52-SEC-CAT-SEM-005
SEC-CAT-VOC-003,The application must provide notifications or alerts when product updates and safety-related patches are available.,5.49,0.68-SEC-CAT-LMF-022
SEC-CAT-IAF-001,The application must identify user actions that can be carried out in the system without requiring identification or authentication.,1.43,0.69-SEC-CAT-SEM-007
SEC-CAT-IAF-002,All organizations that connect to the Health Electronic Registry Information System (EHRI) must submit to possible users of Systems Point of Sale (POS) that link to EHRI to a formal process of registration of Users.,27.49,0.66-SEC-CAT-BAC-008
SEC-CAT-IAF-003,"The application, when using PKI-based authentication, must validate certificates by building a certification chain (including state information) to an accepted trust anchor, so the application must be designed to create a certification chain to a Trust Anchor accepted when using PKI-based authentication.",-5.0,0.72-SEC-CAT-IAF-004
SEC-CAT-IAF-004,"The application, when using authentication based on public key infrastructure (PKI), must enforce authorized access to the corresponding private key, so the application or relevant access control mechanism must be configured to guarantee authorized access to the private key(s) of the application.",-5.0,0.72-SEC-CAT-IAF-003
SEC-CAT-IAF-005,The application must implement procedures to verify that the person or entity that seeks access to protected electronic health information is what it claims to be.,28.17,1.00-SEC-CAT-IAF-007
SEC-CAT-IAF-006,The application must impose a limit of 3 invalid login attempts by a user during 15 minutes and automatically block the account for 1 hour; block the account or node until an administrator releases it; delay the next login notice for 1 hour; notify the system administrator; take permanent account blocking when the maximum number of failed attempts is exceeded.,-6.35,0.68-SEC-CAT-IAF-012
SEC-CAT-IAF-007,The application must implement procedures to verify that the person or entity that seeks access to protected electronic health information is what it claims to be.,28.17,1.00-SEC-CAT-IAF-005
SEC-CAT-IAF-008,"The application must implement robust multifactor authentication, using at least two authentication factors (for example, CAC, Alt. Token) to access non-privileged networks and accounts.",8.53,0.74-SEC-CAT-IND-021
SEC-CAT-IAF-009,"The application should allow users to use a single identity credential (unique login), whether patients or suppliers, when the portal provides access to other applications or services with separate authentication mechanisms.",-2.3,0.63-SEC-CAT-IAF-013
SEC-CAT-IAF-010,"The application must consider and select robust levels of identity assurance following the roles of the users, defining the necessary mechanisms to prove the identity of the record initially.",-0.27,1.00-SEC-CAT-IAF-011
SEC-CAT-IAF-011,"The application must consider and select robust levels of identity assurance following the roles of the users, defining the necessary mechanisms to prove the identity of the record initially.",-0.27,1.00-SEC-CAT-IAF-010
SEC-CAT-IAF-012,The application must implement safe login procedures that protect against login attempts by brute force.,39.33,0.68-SEC-CAT-LMF-014
SEC-CAT-IAF-013,"The application should consider that by authenticating the user, at least the two factors of the authentication mechanism are implemented.",8.88,0.70-SEC-CAT-IAF-014
SEC-CAT-IAF-014,"The application must require the re-authentication of users and devices when information systems' authenticators, roles, or security categories change.",-15.5,0.70-SEC-CAT-IAF-013
SEC-CAT-IAF-015,"In case of an error during the login, the application should not offer specific help messages that can benefit an unauthorized user.",32.22,0.58-SEC-CAT-SEM-006
SEC-CAT-IAF-016,The application should not show system or application identifiers until the login process has been successfully completed.,11.92,0.65-SEC-CAT-IAF-018
SEC-CAT-IAF-017,"The application should not allow passwords to be transmitted in clear text on a network, following section 9.4.2 J) of safe login procedures.",59.8,0.70-SEC-CAT-IAF-018
SEC-CAT-IAF-018,"During the login procedures, the application should not show the password that is being entered.",47.79,0.73-SEC-CAT-IAF-026
SEC-CAT-IAF-019,The application must prohibit password reuse for a minimum of five generations.,25.46,0.69-SEC-CAT-IAF-023
SEC-CAT-IAF-020,"The application should allow the use of a temporary password for the session in the system, with an immediate change to a permanent password.",38.66,0.62-SEC-CAT-IAF-026
SEC-CAT-IAF-021,"The application must, when a successful login is completed, show the following information: 1. Date and time of the last successful login. 2. Details of any login and login attempts since the last successful session.",51.14,0.66-SEC-CAT-LMF-014
SEC-CAT-IAF-022,The application must apply a minimum 24-hour/1 day password life policy.,43.39,0.87-SEC-CAT-IAF-023
SEC-CAT-IAF-023,The application must apply a maximum 60-day password restriction.,20.04,0.87-SEC-CAT-IAF-022
SEC-CAT-IAF-024,The application must ensure that changing the password requires changing at least eight characters.,40.35,0.68-SEC-CAT-IAF-025
SEC-CAT-IAF-025,The application must comply with the following password complexity policies: o Require at least a special character. o Apply a minimal password length of 15 characters. o Demand at least one capital character. o Make at least a lowercase character. o Impose password complexity by requiring at least a numerical character.,35.74,0.68-SEC-CAT-IAF-024
SEC-CAT-IAF-026,"The application must prevent users, except the administrator or the user associated with the password, from making password changes.",18.35,0.73-SEC-CAT-IAF-018
SEC-CAT-IAF-027,"Do not send or implement predetermined credentials, especially for administrators.",2.11,0.54-SEC-CAT-BAC-003
SEC-CAT-IAF-028,The application must limit the number of concurrent sessions for each account to three.,57.27,1.00-SEC-CAT-IAF-029
SEC-CAT-IAF-029,The application must limit the number of concurrent sessions for each account to three.,57.27,1.00-SEC-CAT-IAF-028
SEC-CAT-IAF-030,The EHRI application must restrict the duration of connections to application services to provide additional security in access to those applications.,7.86,0.54-SEC-CAT-LMF-024
SEC-CAT-IAF-031,The application must implement electronic procedures that automatically finish an electronic session after a default inactivity period.,-30.39,0.58-SEC-CAT-IAF-033
SEC-CAT-IAF-032,The application must automatically end the administrator user session and close the administrator’s session after a 10-minute inactivity period is exceeded.,-9.07,0.84-SEC-CAT-IAF-033
SEC-CAT-IAF-033,The application must automatically end the un-privileged user session and close the session of not-privileged users after a 15-minute inactivity period has elapsed.,5.83,1.00-SEC-CAT-IAF-034
SEC-CAT-IAF-034,The application must automatically end the un-privileged user session and close the session of not-privileged users after a 15-minute inactivity period has elapsed.,5.83,1.00-SEC-CAT-IAF-033
SEC-CAT-IAF-035,"The application must ensure that, at the end of a session, all network connections linked to that session are closed, and the session ID and cookies data are destroyed.",58.96,0.69-SEC-CAT-IAF-037
SEC-CAT-IAF-036,"The application must be able to revoke the user's access privileges on time, which implies immediately preventing the user from accessing the system once their privileges have been revoked.",25.12,0.71-SEC-CAT-BAC-003
SEC-CAT-IAF-037,The application must finish the existing user sessions by eliminating an account. Configure the application to close user sessions whose accounts have been deleted.,25.46,0.70-SEC-CAT-IAF-033
SEC-CAT-IAF-038,The application must automatically delete or deactivate temporary user accounts 72 hours after creation. Configure the temporary accounts so they are deleted or deactivated automatically after 72 hours of the account's creation.,-3.99,0.84-SEC-CAT-IAF-039
SEC-CAT-IAF-039,The application must automatically deactivate the user accounts after an inactivity period of 35 days.,-2.98,0.84-SEC-CAT-IAF-038
SEC-CAT-SDF-001,The application must acquire components only from official sources through safe links. Preference must be given to signed packages to reduce the possibility of including a modified or malicious component.,22.41,0.54-SEC-CAT-SDF-002
SEC-CAT-SDF-002,The application must incorporate a 'software supply chain safety tool' to verify that the components do not contain known vulnerabilities.,17.34,0.60-SEC-CAT-IND-014
SEC-CAT-SDF-003,The application must have a process for reviewing code and configuration changes to minimize the possibility of malicious code or configuration introduction in the software pipeline.,2.79,0.58-SEC-CAT-LMF-025
SEC-CAT-SDF-004,"The application must ensure that its continuous integration channel/continuous deployment (CI/CD) has adequate segregation, safe configuration, and access control to guarantee the integrity of the code that flows through construction and implementation processes.",-21.25,0.52-SEC-CAT-SEM-001
SEC-CAT-SDF-005,The application must guarantee that the non-signed or non-encrypted serialized data are not sent to non-reliable customers without integrity verification or digital signature to detect manipulations or reproductions of the serialized data.,-20.23,0.67-SEC-CAT-SEM-003
SEC-CAT-SDF-006,"The application must be able to show the previous content of a record at any point in the past, as well as the associated details of who entered, agreed, or modified the data and at what time.",42.38,0.54-SEC-CAT-LMF-011
SEC-CAT-SDF-007,The application must implement policies and procedures to protect protected electronic health information (EPHI) against improper alterations or destruction.,-15.5,0.79-SEC-CAT-LMF-001
SEC-CAT-LMF-001,"The application must implement a comprehensive security management process to guarantee the non-repudiation, confidentiality, integrity, and availability of all protected electronic health information (EPHI) created, received, maintained, or transmitted. This process must include the periodic review of system activity records, such as audit records, access reports, and security monitoring reports.",-21.59,1.00-SEC-CAT-LMF-002
SEC-CAT-LMF-002,"The application must implement a comprehensive security management process to guarantee the non-repudiation, confidentiality, integrity, and availability of all protected electronic health information (EPHI) created, received, maintained, or transmitted. This process must include the periodic review of system activity records, such as audit records, access reports, and security monitoring reports.",-21.59,1.00-SEC-CAT-LMF-001
SEC-CAT-LMF-003,The application must have an audit reduction capacity that supports research after security incidents. The application must be configured to offer an audit reduction capacity that supports forensic investigations.,6.0,0.65-SEC-CAT-LMF-006
SEC-CAT-LMF-004,The application must generate audit records when successful/unsuccessful attempts are made to grant privileges. Configure the application to audit successful and unsuccessful attempts to grant privileges.,7.52,0.87-SEC-CAT-LMF-005
SEC-CAT-LMF-005,"The application must generate audit records for successful and unsuccessful attempts to modify privileges, security levels, and information categories.",-15.5,0.95-SEC-CAT-LMF-006
SEC-CAT-LMF-006,"The application must generate audit records for successful and failed attempts to eliminate privileges, security levels, database safety objects, and information categories.",-10.08,0.95-SEC-CAT-LMF-005
SEC-CAT-LMF-007,"The application must generate audit records for privileged activities, accesses at the system level, successful/non-success to objects, and all direct access to the information system. The application in registration tickets corresponding to each type of activity mentioned must be configured.",8.88,0.78-SEC-CAT-LMF-006
SEC-CAT-LMF-008,The application must register the actions of users related to access and data changes. It includes identifying specific data elements that require protection and auditing all access and modification of data.,13.44,0.71-SEC-CAT-LMF-007
SEC-CAT-LMF-009,The application must audit the execution of privileged functions. Configure the application to record registration inputs when privileged functions are executed. At least ensure the specific action performed on the date and time of the event is registered.,41.66,0.72-SEC-CAT-LMF-007
SEC-CAT-LMF-010,"The application must generate safe audit records every time a user: 1. Access, create, or update the personal health information (PHI) of a patient/person through the application; 2. Cancels the consent directives of a patient/person through the application; 3. Access, through the application, to data blocked or masked by instruction of a patient/person; 4. Access, create, or update user registration data in the application.",33.1,0.71-SEC-CAT-LMF-006
SEC-CAT-LMF-011,"The application must generate audit records that show the start and end of the user's access time to the system and events related to the beginning, closure, and duration of sessions.",40.01,0.69-SEC-CAT-LMF-012
SEC-CAT-LMF-012,The application must initiate the audit of sessions at the beginning. Configure the application to start registering application events as soon as the application starts.,24.95,0.69-SEC-CAT-LMF-011
SEC-CAT-LMF-013,The application must register closing events of the application. Configure the application or application server to record the closing events of the application in the event records.,23.93,0.61-SEC-CAT-LMF-012
SEC-CAT-LMF-014,The application must generate audit records when successful or failed login attempts occur.,32.9,0.79-SEC-CAT-LMF-006
SEC-CAT-LMF-015,"The application must ensure that audit records contain information that establishes the following: 1. When using centralized logging; the application must include a unique identifier in order to distinguish itself from other application logs. 2. What type of event occurred; 3. The function performed by the accessing user; 4. When the event occurred with a time stamp mark that meets a granularity of one second for a minimum degree of precision. 5. Where the event occurred; 6. The organization of the accessing user (at least in those cases where an individual accesses information on behalf of more than one organization); 7. Source of the event that establishes the identity of any individual or process associated with the event; 8. Network addresses and protocols; 9. Destination IP addresses; 10. Device identity or location, if possible, and system identifier; 11. The outcome of the event; 12. Identity of any individuals, subjects, or objects/entities associated with the event using the username or user ID of the user related to the event; 13. The role the user is exercising; 14. In the case of access override to blocked or masked records or portions of records, a reason for the override, as chosen by the user making the access; 15. In the case of changes to consent directives made by a substitute decision-maker, the identity of the decision-maker.",40.45,0.66-SEC-CAT-LMF-011
SEC-CAT-LMF-016,The application must back up the audit records at least every seven days in a system or component different from the one being audited.,38.66,0.65-SEC-CAT-LMF-020
SEC-CAT-LMF-017,"The application must maintain audit records for a specific period of time, determined by regulations and medical standards. This retention must cover from 7 to 75 years, depending on the information and legal requirements of the State. Some states may require that medical records be preserved in the hospital to guarantee continuous accessibility.",28.13,0.62-SEC-CAT-LMF-016
SEC-CAT-LMF-018,"The LOG management application must ensure access and protect against unauthorized modification delete, and guarantee the integrity of audit tools to prevent improper use or commitment.",2.79,0.66-SEC-CAT-LMF-006
SEC-CAT-LMF-019,"The application must implement strict control measures for the elimination, replication, and consultations of audit records, ensuring total control over the entry, reading, manipulation, or data disposal.",-6.7,0.67-SEC-CAT-LMF-008
SEC-CAT-LMF-020,The application must transfer audit records to a system or medium different from the audited system and be configured to write application records in a centralized repository.,10.23,0.67-SEC-CAT-LMF-007
SEC-CAT-LMF-021,The application must allow the review and centralized analysis of audit records with filtering options defined by the organization.,9.89,0.66-SEC-CAT-LMF-020
SEC-CAT-LMF-022,"At least one application administrator must be registered to receive notifications of updates or safety alerts when they are automatically available. Administrators must register to receive update notifications, allowing them to stop and update applications and components of the application.",0.42,0.68-SEC-CAT-VOC-003
SEC-CAT-LMF-023,The application must generate audit records when a concurrent session is produced from different workstations.,22.41,0.69-SEC-CAT-LMF-011
SEC-CAT-LMF-024,"EHRI must be able to register and safely report each access to the records of a patient/person, complying with the following requirements: 1. Identify all users who have accessed or modified the records of a patient/person in a given period. 2. Provide functionality to inform for a given user: • The records you can access. • You can access the specific sections of the registration(s). • The privileges you have concerning each of these records. 3. Identify all patients/people whose records have been accessed or modified by a specific user in a given period. 4. The system must generate a security event in case of an attempt or potential success for violating the login controls.",38.32,0.65-SEC-CAT-IAF-002
SEC-CAT-LMF-025,"The application must notify the administrator, audit, and record the modifications made in the application configuration.",-12.45,0.66-SEC-CAT-LMF-030
SEC-CAT-LMF-026,The application must notify the system administrators and system security officers (ISSO) of account activation actions. The application must be configured to send notifications to the system administrator and the ISSO when application accounts are enabled.,2.44,0.89-SEC-CAT-LMF-027
SEC-CAT-LMF-027,The application must notify the system administrators and system security officers (ISSO) of account deactivation actions. The application must be configured to send notifications to the system administrator and the ISSO when application accounts are enabled.,2.44,0.91-SEC-CAT-LMF-029
SEC-CAT-LMF-028,The application must notify the system administrators and the system security officers (ISSO) when application accounts are created.,-6.02,0.89-SEC-CAT-LMF-030
SEC-CAT-LMF-029,The application must notify the system administrators and system information security officers (ISSO) of account elimination actions. The application configuration must include notification to the system administrator and the ISSO when application accounts are deleted.,-13.98,0.91-SEC-CAT-LMF-027
SEC-CAT-LMF-030,The application must notify system administrators and system security officers (ISSO) when user accounts are modified.,-3.99,0.89-SEC-CAT-LMF-028
SEC-CAT-LMF-031,The application must provide functions to analyze records and audit traces to identify all users who have accessed or modified patient/people records during a certain period.,11.25,0.67-SEC-CAT-LMF-008
SEC-CAT-LMF-032,The application must alert the Information Security Officer (ISSO) and the System administration (SA) in case of a failure in audit processing. The application must be configured to send an alarm when the audit system fails or is experiencing failure.,25.8,0.71-SEC-CAT-LMF-028
SEC-CAT-SRF-001,"The application must implement protection measures to prevent SSRF vulnerabilities, including network and application layer controls.",-12.45,0.53-SEC-CAT-IND-018
