"id";"pregunta";"Sí";"No";"N-A"
"SIR-025";"¿El sistema debe diferenciar claramente el acceso a datos identificables, seudonimizados y anonimizados mediante control de roles.?";"";"";""
"SIR-026";"¿El sistema debe permitir establecer políticas de acceso diferencial en función del contexto de uso (atención, auditoría, investigación).?";"";"";""
"SIR-027";"¿El sistema debe notificar al paciente cuando su ePHI sea accedida para usos no asistenciales o por terceros.?";"";"";""
"SIR-028";"¿El sistema debe aplicar validación estricta de entradas tanto del lado cliente como del servidor para prevenir inyecciones y corrupción de datos.?";"";"";""
"SIR-029";"¿El sistema debe evitar el uso de credenciales hardcoded, usando mecanismos seguros para la gestión de secretos.?";"";"";""
"SIR-030";"¿Todo código fuente debe ser revisado por al menos un segundo desarrollador antes de entrar a producción.?";"";"";""
"SIR-031";"¿Las dependencias y componentes de terceros deben ser analizados contra vulnerabilidades conocidas (SBOM).?";"";"";""
"SIR-032";"¿El sistema debe aplicar parches de seguridad de manera periódica y automatizada.?";"";"";""
"SIR-033";"¿Se debe implementar control de versiones y gestión de cambios en todos los activos de software.?";"";"";""
"SIR-034";"¿El sistema debe incluir un proceso formal de gestión y respuesta a incidentes de seguridad.?";"";"";""
"SIR-035";"¿Se deben definir métricas y criterios de severidad para clasificar los incidentes de seguridad.?";"";"";""
"SIR-036";"¿El sistema debe notificar al oficial de privacidad y seguridad, así como a los usuarios afectados, cuando ocurra una violación de ePHI.?";"";"";""
"SIR-037";"¿Todos los incidentes deben documentarse en un registro centralizado con fecha, tipo, impacto, medidas y seguimiento.?";"";"";""
"SIR-038";"¿El personal debe recibir formación periódica en detección, reporte y actuación ante incidentes de seguridad.?";"";"";""
"SIR-039";"¿Todo acceso a OpenEMR debe estar sujeto a autenticación mediante credenciales únicas e intransferibles por usuario.?";"";"";""
"SIR-040";"¿El sistema debe forzar el cambio periódico de credenciales según política definida (mínimo cada 90 días).?";"";"";""
"SIR-041";"¿Toda cuenta de usuario debe estar sujeta a un proceso de alta, baja y modificación controlado (ciclo de vida IAM).?";"";"";""
"SIR-042";"¿Se deben registrar intentos de acceso fallidos y generar alertas ante patrones sospechosos (ej. 5 intentos).?";"";"";""
"SIR-043";"¿El sistema debe soportar federación de identidad para facilitar el acceso seguro de usuarios externos (SSO, SAML, OIDC).?";"";"";""
"SIR-044";"¿El sistema debe deshabilitar o eliminar todos los servicios, puertos y protocolos no utilizados en los servidores.?";"";"";""
"SIR-045";"¿Todos los sistemas deben aplicar políticas seguras de contraseñas a nivel de sistema operativo.?";"";"";""
"SIR-046";"¿El sistema debe mantener un benchmark de configuración segura basado en STIG, CIS o similar, revisado periódicamente.?";"";"";""
"SIR-047";"¿Las configuraciones de aplicaciones web deben evitar listados de directorios y acceso a archivos ocultos, y mostrar mensajes de error genéricos.?";"";"";""
"SIR-048";"¿Toda configuración de sistema debe estar sujeta a control de cambios formal con aprobación y trazabilidad.?";"";"";""
"SIR-049";"¿El acceso a OpenEMR desde dispositivos móviles debe estar restringido a través de mecanismos como MDM o listas de dispositivos autorizados.?";"";"";""
"SIR-050";"¿El sistema debe exigir cifrado en disco completo en dispositivos móviles que accedan a ePHI.?";"";"";""
"SIR-051";"¿Los dispositivos móviles deben tener políticas de bloqueo automático tras un período de inactividad definido.?";"";"";""
"SIR-052";"¿Se debe permitir el borrado remoto de datos ePHI en dispositivos móviles extraviados o comprometidos.?";"";"";""
"SIR-053";"¿El acceso a ePHI desde navegadores en dispositivos móviles debe requerir canales seguros (HTTPS) y expiración reforzada de sesión.?";"";"";""
"SIR-054";"¿El sistema debe centralizar los registros de eventos de seguridad y actividad de usuarios en una solución SIEM que permita su análisis y correlación.?";"";"";""
"SIR-055";"¿Los registros deben conservarse de forma segura y protegida contra alteraciones durante al menos 6 años.?";"";"";""
"SIR-056";"¿El sistema debe permitir la generación automatizada de reportes de auditoría para revisiones periódicas.?";"";"";""
"SIR-057";"¿Se deben definir y aplicar reglas de correlación en el SIEM para detectar patrones anómalos o indicios de ataque.?";"";"";""
"SIR-058";"¿El sistema debe permitir la visualización en tiempo real de indicadores de seguridad clave (KPI) mediante tableros.?";"";"";""
"SIR-059";"¿El sistema debe contar con arquitectura redundante y balanceo de carga para asegurar la continuidad del servicio ante fallos en componentes individuales.?";"";"";""
"SIR-060";"¿Los componentes críticos del sistema deben incluir mecanismos automáticos de detección de fallos y recuperación sin intervención humana.?";"";"";""
"SIR-061";"¿Debe existir un mecanismo de replicación síncrona o asíncrona para las bases de datos y almacenamiento que contenga ePHI.?";"";"";""
"SIR-062";"¿El sistema debe establecer objetivos de RTO y RPO documentados para cada servicio crítico y validarlos mediante pruebas periódicas.?";"";"";""
"SIR-063";"¿El sistema debe monitorear continuamente la disponibilidad de la infraestructura crítica y enviar alertas automáticas ante eventos anómalos.?";"";"";""
"SIR-064";"¿El sistema debe garantizar la trazabilidad completa de todas las modificaciones realizadas sobre registros clínicos, incluyendo quién, cuándo y qué se modificó.?";"";"";""
"SIR-065";"¿El sistema debe aplicar controles automáticos de integridad que validen que los datos clínicos almacenados no han sido alterados de forma no autorizada.?";"";"";""
"SIR-066";"¿Debe establecerse un modelo de gobierno de datos que defina responsables, procesos de validación y control de calidad sobre la información clínica.?";"";"";""
"SIR-067";"¿Los datos clínicos deben estar sujetos a reglas de validación semántica y estructural antes de su persistencia.?";"";"";""
"SIR-068";"¿El sistema debe conservar los registros clínicos íntegros, completos y accesibles durante el tiempo legalmente establecido según la jurisdicción aplicable.?";"";"";""
"SIR-069";"¿El sistema debe contar con soluciones antimalware actualizadas en todos los servidores y estaciones de trabajo que acceden a OpenEMR.?";"";"";""
"SIR-070";"¿Debe implementarse un sistema de detección de intrusos (IDS) para monitorear tráfico y alertar sobre patrones maliciosos o no autorizados.?";"";"";""
"SIR-071";"¿Los servidores deben contar con capacidades EDR (Endpoint Detection and Response) que permitan análisis de comportamiento y contención automática de amenazas.?";"";"";""
"SIR-072";"¿El sistema debe bloquear automáticamente direcciones IP que generen patrones de ataque automatizado como escaneos, fuerza bruta o consultas malformadas.?";"";"";""
"SIR-073";"¿Los archivos adjuntos y cargas de datos en OpenEMR deben ser escaneados por antivirus antes de almacenarse o procesarse.?";"";"";""
"SIR-074";"¿Se debe mantener un Software Bill of Materials (SBOM) actualizado con todas las bibliotecas, dependencias y componentes de terceros utilizados en OpenEMR.?";"";"";""
"SIR-075";"¿Todos los paquetes, bibliotecas y artefactos de terceros utilizados deben verificarse mediante firma digital antes de su incorporación al entorno productivo.?";"";"";""
"SIR-076";"¿Se debe contar con un proceso automatizado de detección de vulnerabilidades en dependencias de software de terceros utilizadas por OpenEMR.?";"";"";""
"SIR-079";"¿El acceso físico a las salas de servidores o centros de datos donde se almacena o procesa ePHI debe estar restringido mediante controles de acceso físico robustos.?";"";"";""
"SIR-077";"¿Todo software de terceros embebido debe tener una evaluación de seguridad previa antes de ser aprobado para su uso en el entorno clínico.?";"";"";""
"SIR-078";"¿El sistema debe registrar todos los componentes de software externos en un inventario centralizado con metadatos de versión, autor y licencia.?";"";"";""
"SIR-080";"¿Los equipos que contienen ePHI deben estar protegidos contra daños físicos por agua, fuego, humedad o sobrecalentamiento.?";"";"";""
"SIR-081";"¿Debe mantenerse una política de zonas seguras con delimitación de áreas restringidas para equipos, redes y almacenamiento de respaldos.?";"";"";""
"SIR-082";"¿Todo acceso físico debe registrarse, conservarse al menos por 1 año y estar disponible para auditoría en caso de incidentes.?";"";"";""
"SIR-083";"¿El sistema debe contar con políticas de ubicación segura y disposición controlada de dispositivos obsoletos que contengan ePHI.?";"";"";""
"SIR-084";"¿Toda API expuesta por OpenEMR debe requerir autenticación robusta basada en tokens seguros (OAuth 2.0, OpenID Connect) antes de permitir cualquier acceso.?";"";"";""
"SIR-085";"¿Los tokens de acceso a APIs deben ser de corta duración (máximo 1 hora) y renovables mediante mecanismos seguros de refresh tokens.?";"";"";""
"SIR-086";"¿Todas las comunicaciones entre clientes y APIs deben estar protegidas mediante HTTPS (TLS 1.2 o superior) obligatoriamente.?";"";"";""
"SIR-087";"¿Cada endpoint de API debe validar estrictamente el formato, tipo y tamaño de todos los parámetros de entrada para prevenir inyecciones o corrupción de datos.?";"";"";""
"SIR-088";"¿Debe implementarse un control de límite de tasa (Rate Limiting) por cliente API para evitar abusos y ataques de denegación de servicio (DoS).?";"";"";""
"SIR-089";"¿Debe existir un mecanismo de escaneo y auditoría automática de vulnerabilidades en las APIs expuestas de OpenEMR.?";"";"";""
"SIR-090";"¿Todos los datos clínicos (ePHI) almacenados en servicios en la nube deben cifrarse en reposo mediante claves gestionadas por el cliente (CMEK o BYOK).?";"";"";""
"SIR-091";"¿Los buckets de almacenamiento (S3) no deben estar expuestos públicamente y deben tener políticas de acceso mínimo necesarias (least privilege).?";"";"";""
"SIR-092";"¿El acceso a la consola de gestión cloud debe estar protegido mediante autenticación multifactor obligatoria (MFA) para todas las cuentas administrativas.?";"";"";""
"SIR-093";"¿Los recursos en la nube deben utilizar roles IAM específicos para cada función, evitando credenciales estáticas en código o contenedores.?";"";"";""
"SIR-094";"¿Todo tráfico entre componentes desplegados en la nube debe ser cifrado en tránsito utilizando TLS 1.2 o superior, incluyendo tráfico interno entre zonas o regiones.?";"";"";""
"SIR-095";"¿Debe activarse el logging centralizado de auditoría en servicios cloud (ej. AWS CloudTrail) y enviarse a un repositorio inmutable o sistema SIEM externo.?";"";"";""
"SIR-096";"¿Las imágenes de contenedor utilizadas deben provenir de repositorios de confianza y ser escaneadas automáticamente contra vulnerabilidades conocidas antes de su despliegue.?";"";"";""
"SIR-097";"¿Se deben minimizar los privilegios de contenedores evitando el uso de contenedores privilegiados ('privileged: true') y ejecutando como usuarios no root.?";"";"";""
"SIR-098";"¿Todo acceso a la API Server de Kubernetes debe estar autenticado y autorizado estrictamente, registrando todas las operaciones en logs de auditoría.?";"";"";""
"SIR-099";"¿Las políticas de red (Network Policies) deben ser aplicadas para restringir la comunicación entre pods solamente a lo necesario para el funcionamiento del sistema.?";"";"";""
"SIR-100";"¿Se debe habilitar y configurar correctamente mecanismos de aislamiento de namespaces, runtime security y controladores de admisión (Admission Controllers) en Kubernetes.?";"";"";""
"SIR-101";"¿Se deben realizar copias de seguridad completas, automáticas y frecuentes de toda la ePHI, y estas deben almacenarse en medios inmutables (WORM) o con protección contra sobrescritura.?";"";"";""
"SIR-102";"¿Los entornos de respaldo y almacenamiento de copias deben estar segmentados de la red principal de producción para evitar propagación lateral de malware.?";"";"";""
"SIR-103";"¿Debe implementarse una solución de protección contra ransomware en endpoints, servidores y cargas cloud con detección basada en comportamiento (EDR).?";"";"";""
"SIR-104";"¿Debe configurarse una política de listas blancas de ejecución que limite los binarios y scripts permitidos en entornos clínicos sensibles.?";"";"";""
"SIR-105";"¿El sistema debe enviar alertas en tiempo real al detectar patrones compatibles con ataques de ransomware, como aumento anómalo de escrituras o cambios masivos en archivos.?";"";"";""
"SIR-106";"¿El sistema debe limitar el número de cuentas con privilegios administrativos y definir roles separados para gestión, auditoría y operación clínica.?";"";"";""
"SIR-107";"¿Todo uso de cuentas con privilegios elevados debe ser registrado con auditoría detallada, incluyendo hora, acciones realizadas y motivo del acceso.?";"";"";""
"SIR-108";"¿El sistema debe permitir el uso de cuentas de emergencia ('break-glass') con acceso temporal y controlado, activadas solo bajo condiciones clínicas críticas.?";"";"";""
"SIR-109";"¿Debe realizarse una revisión periódica (al menos trimestral) de las cuentas con privilegios administrativos para validar su necesidad, uso y vigencia.?";"";"";""
"SIR-110";"¿Las credenciales de cuentas privilegiadas deben almacenarse y rotarse de forma automática mediante soluciones de gestión segura (Password Vaults).?";"";"";""
"SIR-111";"¿El sistema debe garantizar que todo correo que contenga ePHI se transmita exclusivamente mediante canales cifrados (TLS 1.2 o superior).?";"";"";""
"SIR-112";"¿Todo correo clínico debe estar protegido mediante mecanismos de autenticación de servidor como SPF, DKIM y políticas DMARC para prevenir spoofing.?";"";"";""
"SIR-113";"¿El sistema debe permitir la detección y filtrado automático de correos con archivos adjuntos maliciosos o enlaces sospechosos.?";"";"";""
"SIR-114";"¿Se debe proporcionar una alternativa segura para el intercambio de ePHI por correo mediante portales web con autenticación o cifrado punto a punto.?";"";"";""
"SIR-115";"¿Los logs de envío y recepción de correos clínicos relevantes deben ser auditables y conservarse durante al menos 6 meses.?";"";"";""
"SIR-116";"¿Las bases de datos que almacenen ePHI deben estar cifradas en reposo utilizando mecanismos de cifrado robustos (AES-256 o superior).?";"";"";""
"SIR-117";"¿El acceso a la base de datos debe estar restringido exclusivamente mediante usuarios autenticados y roles definidos, sin conexiones anónimas.?";"";"";""
"SIR-118";"¿Todos los accesos y modificaciones a las bases de datos clínicas deben ser auditados con logs firmados o protegidos contra manipulación.?";"";"";""
"SIR-119";"¿Debe implementarse validación de integridad periódica sobre la base de datos clínica para detectar alteraciones o corrupción de registros.?";"";"";""
"SIR-120";"¿Las instancias de base de datos deben estar protegidas mediante firewalls o grupos de seguridad que bloqueen todo tráfico externo no autorizado.?";"";"";""
"SIR-121";"¿[Opcional] Los modelos de IA clínica utilizados en decisiones deben ser trazables, incluyendo versión del modelo, parámetros y fecha de entrenamiento.?";"";"";""
"SIR-122";"¿[Opcional] Las decisiones automáticas asistidas por IA deben poder ser explicadas clínicamente en lenguaje comprensible para el profesional.?";"";"";""
"SIR-123";"¿[Opcional] Las predicciones realizadas por motores de IA deben quedar registradas con marca de tiempo, usuario responsable y contexto clínico.?";"";"";""
"SIR-124";"¿[Opcional] Los datos clínicos utilizados para entrenar o mejorar modelos de IA deben anonimizarse o seudonimizarse previamente.?";"";"";""
"SIR-125";"¿[Opcional] Los modelos de IA deben someterse a validaciones periódicas para confirmar su precisión clínica y evitar deriva algorítmica.?";"";"";""
"SIR-126";"¿Toda comunicación basada en HL7 FHIR debe realizarse exclusivamente a través de HTTPS (TLS 1.2 o superior) con certificados válidos.?";"";"";""
"SIR-127";"¿El acceso a recursos FHIR debe requerir tokens con scopes definidos (OAuth 2.0) que limiten el acceso a los recursos estrictamente necesarios.?";"";"";""
"SIR-128";"¿Cada transacción FHIR debe registrarse en logs auditables incluyendo ID de recurso accedido, tiempo, usuario y aplicación origen.?";"";"";""
"SIR-129";"¿Los parámetros de entrada a las APIs FHIR deben validarse estrictamente contra el perfil FHIR esperado y tamaños límite.?";"";"";""
"SIR-130";"¿El sistema debe implementar limitación de tasas de acceso (rate limiting) por aplicación y usuario para endpoints FHIR.?";"";"";""
"SIR-131";"¿Toda estación clínica o terminal físico que acceda a OpenEMR debe requerir autenticación individual del usuario mediante credenciales seguras.?";"";"";""
"SIR-132";"¿Las estaciones clínicas deben bloquearse automáticamente tras un periodo definido de inactividad para prevenir el acceso no autorizado.?";"";"";""
"SIR-133";"¿Las estaciones clínicas deben contar con mecanismos de protección antimanipulación física como anclajes, cierre de puertos no autorizados y ubicación segura.?";"";"";""
"SIR-134";"¿Debe instalarse software de gestión de endpoints (MDM/EDR) en todas las estaciones clínicas para control remoto, actualizaciones, borrado o rastreo.?";"";"";""
"SIR-135";"¿Los dispositivos clínicos portátiles deben contar con cifrado completo de disco activado para prevenir pérdida o acceso a ePHI en caso de extravío.?";"";"";""
"SIR-136";"¿Toda firma electrónica clínica debe estar asociada a una identidad verificada del firmante mediante un mecanismo de autenticación fuerte.?";"";"";""
"SIR-137";"¿Los documentos clínicos firmados deben contar con un mecanismo de validación criptográfica que garantice su integridad y detecte cualquier modificación posterior.?";"";"";""
"SIR-138";"¿Las firmas electrónicas deben registrar la fecha, hora, usuario firmante y contexto clínico en el que se generaron.?";"";"";""
"SIR-139";"¿Las firmas electrónicas clínicas deben estar protegidas contra reutilización o replicación en otros registros.?";"";"";""
"SIR-140";"¿Debe permitirse la validación de firmas electrónicas incluso fuera del sistema OpenEMR, mediante verificación externa (p. ej., certificados públicos).?";"";"";""
"SIR-141";"¿Se debe realizar una evaluación periódica de riesgos de seguridad sobre todos los activos que procesan o almacenan ePHI, al menos una vez al año o ante cambios significativos.?";"";"";""
"SIR-142";"¿Debe llevarse a cabo un Privacy Impact Assessment (PIA) ante cualquier nuevo tratamiento, módulo o integración que implique acceso a datos clínicos identificables.?";"";"";""
"SIR-143";"¿El sistema debe contar con una metodología definida para priorizar los riesgos detectados en función del impacto en la ePHI y la probabilidad de ocurrencia.?";"";"";""
"SIR-144";"¿La evaluación de riesgos debe actualizarse automáticamente o manualmente tras cualquier incidente de seguridad o hallazgo relevante.?";"";"";""
"SIR-145";"¿Debe mantenerse evidencia documental de todas las evaluaciones de riesgos y decisiones asociadas durante al menos 5 años para fines de cumplimiento.?";"";"";""
"SIR-146";"¿Las áreas físicas donde se alojan servidores que contienen ePHI deben contar con control de acceso físico mediante autenticación multifactor o credenciales biométricas.?";"";"";""
"SIR-147";"¿Las áreas sensibles deben contar con videovigilancia activa (CCTV) y grabación continua, conservada por al menos 30 días.?";"";"";""
"SIR-148";"¿Las instalaciones donde se operan sistemas clínicos deben tener sensores de intrusión, incendios, humedad y temperatura conectados a una central de alertas.?";"";"";""
"SIR-149";"¿Debe aplicarse un registro obligatorio de visitantes a zonas restringidas físicas, incluyendo identificación, fecha, hora y motivo del acceso.?";"";"";""
"SIR-150";"¿Se debe proteger contra accesos externos no vigilados mediante barreras físicas perimetrales, puertas controladas electrónicamente y vigilancia continua.?";"";"";""
"SIR-151";"¿Todo sistema heredado o sin soporte activo que procese o acceda a ePHI debe estar segmentado en una red aislada sin conectividad directa con internet o entornos sensibles.?";"";"";""
"SIR-152";"¿Se debe mantener monitoreo específico sobre los sistemas legados, incluyendo alertas ante patrones anómalos de tráfico, acceso o integridad de datos.?";"";"";""
"SIR-153";"¿No se deben introducir nuevos datos clínicos sensibles en sistemas heredados sin soporte salvo que existan controles compensatorios documentados y activos.?";"";"";""
"SIR-154";"¿Todo acceso a sistemas legados debe registrarse con logs auditables, firmados o almacenados en sistemas externos de forma inmutable.?";"";"";""
"SIR-155";"¿La continuidad del uso de sistemas legados debe estar justificada documentalmente con un análisis de riesgo y plan de migración progresivo.?";"";"";""
