"id";"description";"tag";"norma_sugerida"
"SIR-025";"El sistema debe diferenciar claramente el acceso a datos identificables, seudonimizados y anonimizados mediante control de roles.";"covered";"ISO 27799:2016 8.1.6, NIST AC-16, Canada Health Infoway Req. 12"
"SIR-026";"El sistema debe permitir establecer políticas de acceso diferencial en función del contexto de uso (atención, auditoría, investigación).";"covered";"ISO 27799:2016 8.1.5, NIST AC-3(3), Canada Health Infoway Req. 7"
"SIR-027";"El sistema debe notificar al paciente cuando su ePHI sea accedida para usos no asistenciales o por terceros.";"covered";"HIPAA §164.528, ISO 27799:2016 8.2.3, Canada Health Infoway Req. 6"
"SIR-028";"El sistema debe aplicar validación estricta de entradas tanto del lado cliente como del servidor para prevenir inyecciones y corrupción de datos.";"covered";"OWASP A03:2021, CWE-20, CWE-89, DISA STIG V-222401, ISO 27002:2022 5.23"
"SIR-029";"El sistema debe evitar el uso de credenciales hardcoded, usando mecanismos seguros para la gestión de secretos.";"covered";"CWE-798, NIST SC-12, DISA STIG V-222440, ISO 27002:2022 8.2.4"
"SIR-030";"Todo código fuente debe ser revisado por al menos un segundo desarrollador antes de entrar a producción.";"covered";"NIST SA-11, ISO 27002:2022 5.8, DISA STIG V-222433"
"SIR-031";"Las dependencias y componentes de terceros deben ser analizados contra vulnerabilidades conocidas (SBOM).";"covered";"OWASP A06:2021, NIST SI-7, ISO 27002:2022 5.23, DISA STIG V-222437"
"SIR-032";"El sistema debe aplicar parches de seguridad de manera periódica y automatizada.";"covered";"NIST SI-2, DISA STIG V-222441, ISO 27002:2022 5.28"
"SIR-033";"Se debe implementar control de versiones y gestión de cambios en todos los activos de software.";"covered";"ISO 27002:2022 5.8, NIST CM-3, DISA STIG V-222430"
"SIR-034";"El sistema debe incluir un proceso formal de gestión y respuesta a incidentes de seguridad.";"covered";"ISO 27002:2022 5.25, NIST IR-4, HIPAA §164.308(a)(6)"
"SIR-035";"Se deben definir métricas y criterios de severidad para clasificar los incidentes de seguridad.";"covered";"NIST IR-4, ISO 27002:2022 5.25.3"
"SIR-036";"El sistema debe notificar al oficial de privacidad y seguridad, así como a los usuarios afectados, cuando ocurra una violación de ePHI.";"covered";"HIPAA §164.404, ISO 27799:2016 8.3, NIST IR-6"
"SIR-037";"Todos los incidentes deben documentarse en un registro centralizado con fecha, tipo, impacto, medidas y seguimiento.";"covered";"ISO 27002:2022 5.25.4, NIST IR-5, HIPAA §164.308(a)(6)(ii)"
"SIR-038";"El personal debe recibir formación periódica en detección, reporte y actuación ante incidentes de seguridad.";"covered";"NIST AT-2, ISO 27002:2022 6.3, HIPAA §164.308(a)(5)"
"SIR-039";"Todo acceso a OpenEMR debe estar sujeto a autenticación mediante credenciales únicas e intransferibles por usuario.";"covered";"ISO 27002:2022 5.17, NIST IA-2, HIPAA §164.312(d)"
"SIR-040";"El sistema debe forzar el cambio periódico de credenciales según política definida (mínimo cada 90 días).";"covered";"NIST IA-5(1), ISO 27002:2022 5.17.3, DISA STIG V-222402"
"SIR-041";"Toda cuenta de usuario debe estar sujeta a un proceso de alta, baja y modificación controlado (ciclo de vida IAM).";"covered";"ISO 27002:2022 5.18, NIST AC-2, HIPAA §164.308(a)(3)"
"SIR-042";"Se deben registrar intentos de acceso fallidos y generar alertas ante patrones sospechosos (ej. 5 intentos).";"covered";"NIST AC-7, ISO 27002:2022 5.17.6, OWASP A07:2021"
"SIR-043";"El sistema debe soportar federación de identidad para facilitar el acceso seguro de usuarios externos (SSO, SAML, OIDC).";"covered";"ISO 27002:2022 5.17.4, NIST IA-8, Canada Health Infoway Req. 20"
"SIR-044";"El sistema debe deshabilitar o eliminar todos los servicios, puertos y protocolos no utilizados en los servidores.";"covered";"DISA STIG APP3510, ISO 27002:2022 5.23, NIST CM-7"
"SIR-045";"Todos los sistemas deben aplicar políticas seguras de contraseñas a nivel de sistema operativo.";"covered";"DISA STIG APP3520, ISO 27002:2022 5.17, NIST IA-5"
"SIR-046";"El sistema debe mantener un benchmark de configuración segura basado en STIG, CIS o similar, revisado periódicamente.";"covered";"DISA STIG APP3500, ISO 27002:2022 5.23, NIST CM-6"
"SIR-047";"Las configuraciones de aplicaciones web deben evitar listados de directorios y acceso a archivos ocultos, y mostrar mensajes de error genéricos.";"covered";"OWASP A05:2021, DISA STIG APP3525, CWE-200"
"SIR-048";"Toda configuración de sistema debe estar sujeta a control de cambios formal con aprobación y trazabilidad.";"covered";"NIST CM-3, ISO 27002:2022 5.8, DISA STIG APP3505"
"SIR-049";"El acceso a OpenEMR desde dispositivos móviles debe estar restringido a través de mecanismos como MDM o listas de dispositivos autorizados.";"covered";"NIST AC-19, ISO 27002:2022 5.24, Canada Health Infoway Req. 19"
"SIR-050";"El sistema debe exigir cifrado en disco completo en dispositivos móviles que accedan a ePHI.";"covered";"HIPAA §164.312(a)(2)(iv), NIST MP-6, ISO 27002:2022 8.11"
"SIR-051";"Los dispositivos móviles deben tener políticas de bloqueo automático tras un período de inactividad definido.";"covered";"NIST AC-11, ISO 27002:2022 8.1.6, DISA STIG V-222389"
"SIR-052";"Se debe permitir el borrado remoto de datos ePHI en dispositivos móviles extraviados o comprometidos.";"covered";"ISO 27002:2022 8.13, NIST MP-6, Canada Health Infoway Req. 18"
"SIR-053";"El acceso a ePHI desde navegadores en dispositivos móviles debe requerir canales seguros (HTTPS) y expiración reforzada de sesión.";"covered";"OWASP M2, HIPAA §164.312(e)(1), ISO 27002:2022 8.10"
"SIR-054";"El sistema debe centralizar los registros de eventos de seguridad y actividad de usuarios en una solución SIEM que permita su análisis y correlación.";"covered";"NIST AU-6, ISO 27002:2022 5.26, HIPAA §164.312(b), DISA STIG APP3550"
"SIR-055";"Los registros deben conservarse de forma segura y protegida contra alteraciones durante al menos 6 años.";"covered";"HIPAA §164.316(b)(2)(i), NIST AU-11, ISO 27002:2022 5.27"
"SIR-056";"El sistema debe permitir la generación automatizada de reportes de auditoría para revisiones periódicas.";"covered";"ISO 27002:2022 5.26.3, NIST AU-6(3), Canada Health Infoway Req. 26"
"SIR-057";"Se deben definir y aplicar reglas de correlación en el SIEM para detectar patrones anómalos o indicios de ataque.";"covered";"NIST AU-6(1), DISA STIG APP3555, ISO 27002:2022 5.22"
"SIR-058";"El sistema debe permitir la visualización en tiempo real de indicadores de seguridad clave (KPI) mediante tableros.";"covered";"NIST IR-5, ISO 27002:2022 5.22, Canada Health Infoway Req. 27"
"SIR-059";"El sistema debe registrar todos los accesos a registros clínicos con metadatos: quién, cuándo, desde dónde y con qué finalidad.";"covered";"HIPAA §164.312(b), ISO 27002:2022 5.22, NIST AU-2"
"SIR-060";"Debe establecerse un proceso de revisión periódica de los logs de auditoría para detección de anomalías.";"covered";"NIST AU-6, ISO 27002:2022 5.26.4"
"SIR-061";"Los registros deben almacenarse en repositorios redundantes, cifrados y con protección de integridad.";"covered";"HIPAA §164.312(c)(1), NIST AU-9, ISO 27002:2022 5.27"
"SIR-062";"El sistema debe estar preparado para registrar intentos de modificación o eliminación de logs.";"covered";"NIST AU-9(3), ISO 27002:2022 5.27.2"
"SIR-063";"El sistema debe permitir el acceso a logs solo a personal autorizado con perfiles específicos.";"covered";"NIST AC-6, ISO 27002:2022 5.18"
"SIR-064";"Se deben aplicar técnicas de hashing y sellado digital a los logs para garantizar su no repudio.";"covered";"NIST AU-10, ISO 27002:2022 5.27.3"
"SIR-065";"Todo dato clínico debe tener mecanismos de verificación de integridad que permitan detectar alteraciones.";"covered";"HIPAA §164.312(c)(1), NIST SI-7, ISO 27002:2022 8.16"
"SIR-066";"Se deben implementar firmas digitales o códigos hash para validar la integridad de documentos clínicos generados.";"covered";"ISO 27002:2022 8.10.5, NIST SC-12, HIPAA §164.312(c)(1)"
"SIR-067";"Debe garantizarse la integridad de las copias de respaldo mediante verificación de checksums.";"covered";"NIST CP-9(1), ISO 27002:2022 8.13.3"
"SIR-068";"Los cambios realizados sobre la ePHI deben registrarse con información de autor, fecha, contenido previo y nuevo.";"covered";"HIPAA §164.312(b), ISO 27002:2022 5.22"
"SIR-069";"Debe implementarse una solución antimalware en servidores y estaciones clínicas.";"covered";"NIST SI-3, ISO 27002:2022 8.7.2, DISA STIG APP3526"
"SIR-070";"El sistema debe estar protegido contra ataques de ransomware mediante múltiples capas defensivas.";"partial";"NIST SI-3, ISO 27002:2022 5.30.2"
"SIR-071";"Debe integrarse una solución EDR para detección de comportamiento malicioso en endpoints.";"covered";"NIST SI-4(1), ISO 27002:2022 8.7.4"
"SIR-072";"El acceso a la plataforma OpenEMR debe estar restringido a IPs o rangos de red autorizados.";"covered";"ISO 27002:2022 5.14.1, NIST AC-17(1)"
"SIR-073";"Se deben implementar controles de geolocalización o restricciones por país para el acceso remoto.";"partial";"ISO 27002:2022 5.14.2"
"SIR-074";"Las contraseñas deben ser almacenadas usando algoritmos de hashing fuerte (bcrypt, scrypt o Argon2).";"covered";"OWASP ASVS 2.1.1, NIST SP 800-63B, ISO 27002:2022 8.3.5"
"SIR-075";"El sistema debe prevenir ataques de fuerza bruta mediante bloqueo temporal o CAPTCHA.";"covered";"OWASP A07:2021, NIST AC-7, ISO 27002:2022 5.17.6"
"SIR-076";"Los tokens de sesión deben expirar automáticamente tras tiempo de inactividad o cierre de navegador.";"covered";"OWASP A07:2021, NIST AC-12, ISO 27002:2022 5.17.6"
"SIR-077";"Las cookies de sesión deben estar marcadas como HttpOnly y Secure.";"covered";"OWASP A05:2021, DISA STIG APP3531, ISO 27002:2022 8.10.2"
"SIR-078";"Los formularios web deben estar protegidos contra ataques CSRF mediante tokens aleatorios.";"covered";"OWASP A05:2021, CWE-352, DISA STIG APP3532"
"SIR-079";"El sistema debe registrar eventos físicos de acceso a la sala de servidores (biométricos, tarjetas, CCTV).";"covered";"ISO 27002:2022 7.4.2, NIST PE-3, HIPAA §164.310(a)(2)(iii)"
"SIR-080";"Se deben establecer sensores de humedad, temperatura y fuego en la sala de servidores.";"covered";"ISO 27002:2022 7.9.1, NIST PE-6"
"SIR-081";"Debe existir un plan de recuperación ante desastre con pruebas anuales documentadas.";"covered";"ISO 27002:2022 5.31, NIST CP-4, HIPAA §164.308(a)(7)(ii)(B)"
"SIR-082";"El acceso físico debe estar limitado a personal autorizado mediante control de entradas/salidas.";"covered";"ISO 27002:2022 7.4.1, NIST PE-2, HIPAA §164.310(a)(1)"
"SIR-083";"Los accesos físicos deben ser auditados al igual que los lógicos.";"covered";"ISO 27002:2022 7.4.2, NIST PE-6, HIPAA §164.310(b)"
"SIR-084";"Las APIs públicas deben autenticarse mediante OAuth 2.0 con scopes mínimos necesarios.";"covered";"OWASP API4:2023, NIST AC-17, ISO 27002:2022 5.18"
"SIR-085";"Las APIs deben validar tipos y tamaños de datos recibidos.";"covered";"OWASP API8:2023, NIST SI-10, ISO 27002:2022 5.23"
"SIR-086";"El tráfico entre módulos debe estar cifrado mediante TLS con certificados válidos.";"covered";"NIST SC-12, HIPAA §164.312(e)(1), ISO 27002:2022 8.4.1"
"SIR-087";"Las respuestas de error de la API no deben incluir información técnica interna.";"covered";"OWASP API7:2023, CWE-209"
"SIR-088";"Se debe limitar el número de peticiones a la API desde una IP o token por minuto.";"covered";"OWASP API4:2023, NIST SC-5"
"SIR-089";"El sistema debe permitir revocar sesiones activas de forma remota.";"covered";"OWASP ASVS 2.5.4, NIST AC-12"
"SIR-090";"Las operaciones sensibles (borrar ePHI, editar identidad) deben requerir reautenticación del usuario.";"covered";"OWASP ASVS 2.2.3, ISO 27002:2022 5.17.6"
"SIR-091";"Los sistemas deben protegerse contra ataques de denegación de servicio con WAF o filtros de red.";"covered";"OWASP A10:2021, NIST SC-5"
"SIR-092";"Todo módulo de prescripción debe validar alertas de alergias, duplicidades o contraindicaciones.";"new";""
"SIR-093";"El sistema debe tener lógica para impedir registros duplicados de pacientes.";"new";""
"SIR-094";"Las interfaces con laboratorios externos deben incluir validación cruzada de identidad y resultados.";"partial";"ISO 27002:2022 8.4.4"
"SIR-095";"Los reportes clínicos deben tener control de acceso granular por tipo y autor.";"covered";"NIST AC-3, ISO 27002:2022 5.15"
"SIR-096";"Debe registrarse el ciclo de vida completo de un documento clínico (creación, modificación, firma, archivo).";"covered";"ISO 27002:2022 5.8.6, HIPAA §164.312(b)"
"SIR-097";"Los contenedores de la infraestructura deben ejecutarse con privilegios mínimos.";"covered";"NIST AC-6, DISA STIG Docker Benchmark, ISO 27002:2022 8.6"
"SIR-098";"Las imágenes de contenedores deben estar firmadas y verificadas antes de desplegarse.";"covered";"NIST SA-12(15), ISO 27002:2022 5.8.7"
"SIR-099";"Los entornos de desarrollo, pruebas y producción deben estar segmentados.";"covered";"NIST SC-7, ISO 27002:2022 5.24.2, DISA STIG APP3500"
"SIR-100";"No debe permitirse acceso desde entornos de pruebas a datos reales de pacientes.";"covered";"ISO 27002:2022 8.11.3, HIPAA §164.308(a)(4)(ii)(B)"
"SIR-101";"Se deben realizar copias de seguridad completas, automáticas y frecuentes de toda la ePHI, y estas deben almacenarse en medios inmutables (WORM) o con protección contra sobrescritura.";"covered";"NIST SP 1800-25, ISO 27002:2022 8.13, HIPAA §164.308(a)(7)"
"SIR-102";"Los entornos de respaldo y almacenamiento de copias deben estar segmentados de la red principal de producción para evitar propagación lateral de malware.";"covered";"NIST SC-7(8), ISO 27002:2022 8.9.5"
"SIR-103";"Debe implementarse una solución de protección contra ransomware en endpoints, servidores y cargas cloud con detección basada en comportamiento (EDR).";"covered";"NIST SI-4(1), ISO 27002:2022 8.7.4"
"SIR-104";"Debe configurarse una política de listas blancas de ejecución que limite los binarios y scripts permitidos en entornos clínicos sensibles.";"covered";"NIST SI-7(7), DISA STIG APP3530"
"SIR-105";"El sistema debe enviar alertas en tiempo real al detectar patrones compatibles con ataques de ransomware, como aumento anómalo de escrituras o cambios masivos en archivos.";"covered";"NIST IR-5, ISO 27002:2022 5.22, OWASP A09:2021"
"SIR-106";"El sistema debe limitar el número de cuentas con privilegios administrativos y definir roles separados para gestión, auditoría y operación clínica.";"covered";"ISO 27002:2022 5.18, NIST AC-6, HIPAA §164.312(a)"
"SIR-107";"Todo uso de cuentas con privilegios elevados debe ser registrado con auditoría detallada, incluyendo hora, acciones realizadas y motivo del acceso.";"covered";"NIST AU-2, ISO 27002:2022 5.22, HIPAA §164.312(b)"
"SIR-108";"El sistema debe permitir el uso de cuentas de emergencia ('break-glass') con acceso temporal y controlado, activadas solo bajo condiciones clínicas críticas.";"covered";"HIPAA §164.312(a)(1), NIST AC-2(5), ISO 27002:2022 5.17.7"
"SIR-109";"Debe realizarse una revisión periódica (al menos trimestral) de las cuentas con privilegios administrativos para validar su necesidad, uso y vigencia.";"covered";"NIST AC-2(3), ISO 27002:2022 5.20.3"
"SIR-110";"Las credenciales de cuentas privilegiadas deben almacenarse y rotarse de forma automática mediante soluciones de gestión segura (Password Vaults).";"covered";"NIST IA-5, ISO 27002:2022 8.3.5"
"SIR-111";"El sistema debe garantizar que todo correo que contenga ePHI se transmita exclusivamente mediante canales cifrados (TLS 1.2 o superior).";"covered";"HIPAA §164.312(e)(1), ISO 27002:2022 8.4.1, NIST SP 800-52"
"SIR-112";"Todo correo clínico debe estar protegido mediante mecanismos de autenticación de servidor como SPF, DKIM y políticas DMARC para prevenir spoofing.";"covered";"NIST SP 800-45, ISO 27002:2022 8.11.4, CIS Controls v8 9.4"
"SIR-113";"El sistema debe permitir la detección y filtrado automático de correos con archivos adjuntos maliciosos o enlaces sospechosos.";"covered";"ISO 27002:2022 8.7.3, NIST SI-3, HIPAA §164.308(a)(5)(ii)(B)"
"SIR-114";"Se debe proporcionar una alternativa segura para el intercambio de ePHI por correo mediante portales web con autenticación o cifrado punto a punto.";"covered";"HIPAA §164.312(e)(1), ISO 27002:2022 8.4.4"
"SIR-115";"Los logs de envío y recepción de correos clínicos relevantes deben ser auditables y conservarse durante al menos 6 meses.";"covered";"NIST AU-11, ISO 27002:2022 5.22, HIPAA §164.312(b)"
"SIR-116";"Las bases de datos que almacenen ePHI deben estar cifradas en reposo utilizando mecanismos de cifrado robustos (AES-256 o superior).";"covered";"HIPAA §164.312(a)(2)(iv), ISO 27002:2022 8.10, NIST SC-12"
"SIR-117";"El acceso a la base de datos debe estar restringido exclusivamente mediante usuarios autenticados y roles definidos, sin conexiones anónimas.";"covered";"ISO 27002:2022 5.18, NIST AC-6, HIPAA §164.312(a)(1)"
"SIR-118";"Todos los accesos y modificaciones a las bases de datos clínicas deben ser auditados con logs firmados o protegidos contra manipulación.";"covered";"HIPAA §164.312(b), ISO 27002:2022 5.22, NIST AU-2"
"SIR-119";"Debe implementarse validación de integridad periódica sobre la base de datos clínica para detectar alteraciones o corrupción de registros.";"covered";"ISO 27002:2022 8.16, NIST SI-7, HIPAA §164.312(c)(1)"
"SIR-120";"Las instancias de base de datos deben estar protegidas mediante firewalls o grupos de seguridad que bloqueen todo tráfico externo no autorizado.";"covered";"ISO 27002:2022 5.14, NIST SC-7, CIS MySQL Benchmark"
"SIR-121";"[Opcional] Los modelos de IA clínica utilizados en decisiones deben ser trazables, incluyendo versión del modelo, parámetros y fecha de entrenamiento.";"covered";"ISO 27002:2022 8.29, NIST SA-15(10)"
"SIR-122";"[Opcional] Las decisiones automáticas asistidas por IA deben poder ser explicadas clínicamente en lenguaje comprensible para el profesional.";"covered";"ISO 27002:2022 8.29, NIST RA-9"
"SIR-123";"[Opcional] Las predicciones realizadas por motores de IA deben quedar registradas con marca de tiempo, usuario responsable y contexto clínico.";"covered";"NIST AU-2, ISO 27002:2022 5.22, HIPAA §164.312(b)"
"SIR-124";"[Opcional] Los datos clínicos utilizados para entrenar o mejorar modelos de IA deben anonimizarse o seudonimizarse previamente.";"covered";"ISO 27002:2022 8.11.3, HIPAA §164.514(b), NIST SP 800-53 PM-18"
"SIR-125";"[Opcional] Los modelos de IA deben someterse a validaciones periódicas para confirmar su precisión clínica y evitar deriva algorítmica.";"covered";"ISO 27002:2022 8.29.3, NIST SA-15(3)"
"SIR-126";"Toda comunicación basada en HL7 FHIR debe realizarse exclusivamente a través de HTTPS (TLS 1.2 o superior) con certificados válidos.";"covered";"ISO 27002:2022 8.4.1, NIST SC-12, HIPAA §164.312(e)(1)"
"SIR-127";"El acceso a recursos FHIR debe requerir tokens con scopes definidos (OAuth 2.0) que limiten el acceso a los recursos estrictamente necesarios.";"covered";"NIST AC-17, ISO 27002:2022 5.18, SMART on FHIR"
"SIR-128";"Cada transacción FHIR debe registrarse en logs auditables incluyendo ID de recurso accedido, tiempo, usuario y aplicación origen.";"covered";"ISO 27002:2022 5.22, NIST AU-2, HIPAA §164.312(b)"
"SIR-129";"Los parámetros de entrada a las APIs FHIR deben validarse estrictamente contra el perfil FHIR esperado y tamaños límite.";"covered";"OWASP API8:2023, ISO 27002:2022 8.12"
"SIR-130";"El sistema debe implementar limitación de tasas de acceso (rate limiting) por aplicación y usuario para endpoints FHIR.";"covered";"OWASP API4:2023, NIST SC-5"
"SIR-131";"Toda estación clínica o terminal físico que acceda a OpenEMR debe requerir autenticación individual del usuario mediante credenciales seguras.";"covered";"HIPAA §164.310(a)(1), ISO 27002:2022 5.17.2, NIST AC-7"
"SIR-132";"Las estaciones clínicas deben bloquearse automáticamente tras un periodo definido de inactividad para prevenir el acceso no autorizado.";"covered";"HIPAA §164.312(a)(2)(iii), ISO 27002:2022 5.17.6, DISA STIG"
"SIR-133";"Las estaciones clínicas deben contar con mecanismos de protección antimanipulación física como anclajes, cierre de puertos no autorizados y ubicación segura.";"covered";"ISO 27002:2022 7.3, HIPAA §164.310(a)(2)(iii), NIST PE-3"
"SIR-134";"Debe instalarse software de gestión de endpoints (MDM/EDR) en todas las estaciones clínicas para control remoto, actualizaciones, borrado o rastreo.";"covered";"ISO 27002:2022 8.6.3, NIST CM-7, HIPAA §164.310(d)(1)"
"SIR-135";"Los dispositivos clínicos portátiles deben contar con cifrado completo de disco activado para prevenir pérdida o acceso a ePHI en caso de extravío.";"covered";"HIPAA §164.312(a)(2)(iv), ISO 27002:2022 8.10.3, NIST MP-5"
"SIR-136";"Toda firma electrónica clínica debe estar asociada a una identidad verificada del firmante mediante un mecanismo de autenticación fuerte.";"covered";"ISO 27002:2022 8.5.3, NIST IA-2, HIPAA §164.312(a)(1)"
"SIR-137";"Los documentos clínicos firmados deben contar con un mecanismo de validación criptográfica que garantice su integridad y detecte cualquier modificación posterior.";"covered";"ISO 27002:2022 8.3.5, HIPAA §164.312(c)(1)"
"SIR-138";"Las firmas electrónicas deben registrar la fecha, hora, usuario firmante y contexto clínico en el que se generaron.";"covered";"ISO 27002:2022 5.22, HIPAA §164.312(b), NIST AU-2"
"SIR-139";"Las firmas electrónicas clínicas deben estar protegidas contra reutilización o replicación en otros registros.";"covered";"ISO 27002:2022 8.5.3, NIST SP 800-63B"
"SIR-140";"Debe permitirse la validación de firmas electrónicas incluso fuera del sistema OpenEMR, mediante verificación externa (p. ej., certificados públicos).";"covered";"ISO 27002:2022 8.5.3, NIST SA-4(7)"
"SIR-141";"Se debe realizar una evaluación periódica de riesgos de seguridad sobre todos los activos que procesan o almacenan ePHI, al menos una vez al año o ante cambios significativos.";"covered";"ISO 27002:2022 5.28, NIST RA-3, HIPAA §164.308(a)(1)(ii)(A)"
"SIR-142";"Debe llevarse a cabo un Privacy Impact Assessment (PIA) ante cualquier nuevo tratamiento, módulo o integración que implique acceso a datos clínicos identificables.";"covered";"ISO 27002:2022 8.11.1, NIST PM-9, Canada Health Infoway Req. 16"
"SIR-143";"El sistema debe contar con una metodología definida para priorizar los riesgos detectados en función del impacto en la ePHI y la probabilidad de ocurrencia.";"covered";"ISO 27005, NIST RA-2, HIPAA §164.308(a)(1)"
"SIR-144";"La evaluación de riesgos debe actualizarse automáticamente o manualmente tras cualquier incidente de seguridad o hallazgo relevante.";"covered";"ISO 27002:2022 5.28.2, NIST RA-4"
"SIR-145";"Debe mantenerse evidencia documental de todas las evaluaciones de riesgos y decisiones asociadas durante al menos 5 años para fines de cumplimiento.";"covered";"HIPAA §164.316(b), ISO 27002:2022 5.28.3"
"SIR-146";"Las áreas físicas donde se alojan servidores que contienen ePHI deben contar con control de acceso físico mediante autenticación multifactor o credenciales biométricas.";"covered";"HIPAA §164.310(a)(1), ISO 27002:2022 7.4.1, NIST PE-3"
"SIR-147";"Las áreas sensibles deben contar con videovigilancia activa (CCTV) y grabación continua, conservada por al menos 30 días.";"covered";"ISO 27002:2022 7.5.5, HIPAA §164.310(b)"
"SIR-148";"Las instalaciones donde se operan sistemas clínicos deben tener sensores de intrusión, incendios, humedad y temperatura conectados a una central de alertas.";"covered";"ISO 27002:2022 7.9.1, NIST PE-6"
"SIR-149";"Debe aplicarse un registro obligatorio de visitantes a zonas restringidas físicas, incluyendo identificación, fecha, hora y motivo del acceso.";"covered";"ISO 27002:2022 7.4.3, HIPAA §164.310(a)(2)(iii), NIST PE-8"
"SIR-150";"Se debe proteger contra accesos externos no vigilados mediante barreras físicas perimetrales, puertas controladas electrónicamente y vigilancia continua.";"covered";"ISO 27002:2022 7.1.2, NIST PE-2"
